state_id,state_index,a1,a2,a3,m,gamma,selected_rank,alias_score,nearest_alias_state_id,nearest_selected_rms_snr,nearest_selected_state_id
3P_S00000004,4,0.2,0.025,0.0,0.4,0.01,0,1.1632342903723105,PROFILED_CONTINUOUS,1.3970134263246294,3P_S00031126
3P_S00007963,7963,0.058332923468668585,0.025,0.0,1.1978286912750837,0.9338794769003573,1,0.21264089865428284,PROFILED_CONTINUOUS,1.3099415951305673,3P_S00019467
3P_S00022590,22590,0.1987595526666323,0.025,0.0,0.7645387835340021,0.8687710921085854,2,0.026624773735896213,PROFILED_CONTINUOUS,1.3050102764413285,3P_S00021875
3P_S00028557,28557,0.05004915081570458,0.025,0.0,0.4087909546064603,0.08186945549056725,3,0.054440843731114276,PROFILED_CONTINUOUS,1.393154725357336,3P_S00023890
3P_S00000006,6,0.2,0.025,0.0,1.2,0.01,4,0.3520084228713769,PROFILED_CONTINUOUS,1.4805590133917312,3P_S00021279
3P_S00020248,20248,0.14170536063558942,0.025,0.0,1.1231866448876318,0.168521424245163,5,0.025228720696544322,PROFILED_CONTINUOUS,1.340435028805915,3P_S00017622
3P_S00003203,3203,0.056229037590776694,0.025,0.0,0.6885225734674929,0.918530963783037,6,0.04295398199060936,PROFILED_CONTINUOUS,1.6133064360184832,3P_S00038367
3P_S00011543,11543,0.19908907022920702,0.025,0.0,0.796863136176108,0.044655893935519185,7,0.03680786500413784,PROFILED_CONTINUOUS,1.3598477132306486,3P_S00011554
3P_S00000007,7,0.2,0.025,0.0,1.2,1.0,8,0.7382744144332148,PROFILED_CONTINUOUS,1.6313433197517542,3P_S00018058
3P_S00017590,17590,0.12519535770657908,0.025,0.0,0.7572133956702638,0.3965370199288252,9,0.025545237148229007,PROFILED_CONTINUOUS,1.4996622231506183,3P_S00044667
3P_S00036288,36288,0.12488671770573273,0.025,0.0,0.4010556759211323,0.03208526163245503,10,0.03516895416913627,PROFILED_CONTINUOUS,1.419597547384079,3P_S00008243
3P_S00021978,21978,0.1693929438403095,0.025,0.0,0.4206810755272575,0.6890586167135812,11,0.02516919686476866,PROFILED_CONTINUOUS,1.404578815146655,3P_S00002638
3P_S00015119,15119,0.16610075075317932,0.025,0.0,0.9856918159378354,0.5297423591381181,12,0.027229252007618884,PROFILED_CONTINUOUS,1.4533622162993898,3P_S00020248
3P_S00038367,38367,0.050483377854264815,0.025,0.0,0.40448149420054635,0.5411618417034194,13,0.39035194891745956,PROFILED_CONTINUOUS,1.6133064360184832,3P_S00003203
3P_S00002638,2638,0.1614631736565416,0.025,0.0,0.647740429823171,0.6227129509435443,14,0.029811751367146633,PROFILED_CONTINUOUS,1.404578815146655,3P_S00021978
3P_S00006110,6110,0.11854008047736013,0.025,0.0,1.1652152492610641,0.9180667594615151,15,0.38184050364605954,PROFILED_CONTINUOUS,1.610446088307606,3P_S00001745
3P_S00032664,32664,0.19908422687047428,0.025,0.0,1.1720664032898942,0.09601646369282141,16,0.025377865103749092,PROFILED_CONTINUOUS,1.6592309307894888,3P_S00037713
3P_S00003749,3749,0.19641783381826622,0.025,0.0,0.48772086311150037,0.06615641598268582,17,0.026169358558376123,PROFILED_CONTINUOUS,1.507093152531534,3P_S00003855
3P_S00032271,32271,0.19232222840933405,0.025,0.0,0.567726955096874,0.8787669495479842,18,0.02572795698883239,PROFILED_CONTINUOUS,1.3492936235727566,3P_S00032551
3P_S00018240,18240,0.16347017066909608,0.025,0.0,0.8098410742546841,0.28366254961530546,19,0.025835468068902284,PROFILED_CONTINUOUS,1.331876589869533,3P_S00011942
3P_S00039030,39030,0.16566544789738796,0.025,0.0,1.1999604982156242,0.5039166427236017,20,0.031110363799424487,PROFILED_CONTINUOUS,1.4124509169868504,3P_S00011710
3P_S00044523,44523,0.08811674525016175,0.025,0.0,1.1722707280680957,0.21416361032191614,21,0.025482657838547956,PROFILED_CONTINUOUS,1.797553733968862,3P_S00008917
3P_S00042603,42603,0.1999375590889737,0.025,0.0,0.9567723793966175,0.8780403151622346,22,0.026604823082351833,PROFILED_CONTINUOUS,1.5580083266570857,3P_S00015720
3P_S00016559,16559,0.16801219353992494,0.025,0.0,0.9778502741276834,0.17164313169114565,23,0.025381971317129142,PROFILED_CONTINUOUS,1.3061139559216735,3P_S00006696
3P_S00013824,13824,0.19982185890837395,0.025,0.0,0.6728065874385472,0.011583284307071088,24,0.3773570044224005,PROFILED_CONTINUOUS,1.379438824131367,3P_S00002852
3P_S00045334,45334,0.13708248845470705,0.025,0.0,0.9698129652546386,0.2909730585966305,25,0.025105810885625027,PROFILED_CONTINUOUS,1.3447370501000007,3P_S00038924
3P_S00014878,14878,0.1698741106925037,0.025,0.0,0.8390109548414463,0.6807673297195123,26,0.03430769796241454,PROFILED_CONTINUOUS,1.327630561941535,3P_S00009965
3P_S00010994,10994,0.1997945950308444,0.025,0.0,0.942977654176026,0.012843697236682553,27,0.3856582708866954,PROFILED_CONTINUOUS,1.5905889880413848,3P_S00011543
3P_S00004778,4778,0.051642575879790945,0.025,0.0,0.9320186266011672,0.8218052803667714,28,0.13631507388897393,PROFILED_CONTINUOUS,1.5458200043475563,3P_S00046417
3P_S00046350,46350,0.19846739324461554,0.025,0.0,1.0936402296936247,0.34660322455958065,29,0.04204282315190106,PROFILED_CONTINUOUS,1.401341361896991,3P_S00033316
3P_S00003417,3417,0.15811661529749732,0.025,0.0,1.1951409861141187,0.07795460308979767,30,0.0265297252071388,PROFILED_CONTINUOUS,1.3295903045507143,3P_S00029889
3P_S00043910,43910,0.14399419349783724,0.025,0.0,1.092333264085711,0.4109164553031885,31,0.03056757057428994,PROFILED_CONTINUOUS,1.3039130218112505,3P_S00007042
3P_S00015920,15920,0.1978200762167152,0.025,0.0,0.8930246057727271,0.2786347786185937,32,0.03019818728568925,PROFILED_CONTINUOUS,1.3543312295037073,3P_S00045203
3P_S00019249,19249,0.189910217402059,0.025,0.0,0.6725895163778594,0.36058499230968466,33,0.031161174944428542,PROFILED_CONTINUOUS,1.8537454081974962,3P_S00010799
3P_S00000142,142,0.16954984758936062,0.025,0.0,1.1565214696970783,0.18757978711252649,34,0.02675686375816395,PROFILED_CONTINUOUS,1.415799060329709,3P_S00006696
3P_S00021228,21228,0.15344936525997555,0.025,0.0,0.911129569879035,0.40539694480960203,35,0.033065131969229174,PROFILED_CONTINUOUS,1.3742635306579338,3P_S00044735
3P_S00033156,33156,0.18188354315152938,0.025,0.0,0.7260389735223437,0.593120151705723,36,0.036010563250769796,PROFILED_CONTINUOUS,1.3214448688648806,3P_S00010355
3P_S00035955,35955,0.18831532725543165,0.025,0.0,1.085097595746584,0.7309763897142366,37,0.3481060503769841,PROFILED_CONTINUOUS,1.3273289264130568,3P_S00017622
3P_S00033812,33812,0.08180408497934522,0.025,0.0,0.403183501412511,0.028949867678183742,38,0.02655231820804858,PROFILED_CONTINUOUS,2.953636843896838,3P_S00033651
3P_S00034833,34833,0.1669135939929417,0.025,0.0,1.0865546257947953,0.3404574608826055,39,0.03318422733800888,PROFILED_CONTINUOUS,1.3029882651448108,3P_S00034815
3P_S00018058,18058,0.1445681580236809,0.025,0.0,1.1991336356457323,0.30687470536685724,40,0.04165253948009008,PROFILED_CONTINUOUS,1.372299290627853,3P_S00032341
3P_S00037062,37062,0.17577444569918466,0.025,0.0,0.904636141144155,0.3137638451933958,41,0.031108773685773777,PROFILED_CONTINUOUS,1.52559850989963,3P_S00004848
3P_S00043275,43275,0.15364628226244503,0.025,0.0,1.0256137048162004,0.23209856824750555,42,0.02954572188884021,PROFILED_CONTINUOUS,1.3342791622789116,3P_S00044953
3P_S00009344,9344,0.1944144477957419,0.025,0.0,0.6654579925062303,0.867302766727253,43,0.0271174292069461,PROFILED_CONTINUOUS,1.5547747406854084,3P_S00032551
3P_S00015621,15621,0.11474192228709627,0.025,0.0,1.187931101421043,0.13255379078965382,44,0.02569932348524604,PROFILED_CONTINUOUS,1.6131976493574882,3P_S00030470
3P_S00033651,33651,0.10296318023917639,0.025,0.0,1.0168313021845432,0.37473700666719706,45,0.02560612077219482,PROFILED_CONTINUOUS,1.3909938180462957,3P_S00026740
3P_S00010189,10189,0.19828273430753451,0.025,0.0,1.0403650866348246,0.03599221005953407,46,0.04487693861269273,PROFILED_CONTINUOUS,1.433172729923594,3P_S00023420
3P_S00015564,15564,0.1418460464354269,0.025,0.0,0.8207687038343587,0.28816623454638574,47,0.025301166840105485,PROFILED_CONTINUOUS,1.4292092207237128,3P_S00014878
3P_S00031736,31736,0.12857863467503644,0.025,0.0,0.5881991391789778,0.653474359985585,48,0.025531511912984767,PROFILED_CONTINUOUS,1.3797824840305213,3P_S00014411
3P_S00041091,41091,0.18652249239501206,0.025,0.0,0.9543126149646884,0.5528638897815829,49,0.04246140203120337,PROFILED_CONTINUOUS,1.3064389364708395,3P_S00035552
3P_S00035973,35973,0.1520962250172007,0.025,0.0,0.7096442984841421,0.34972412279292925,50,0.026439599907628897,PROFILED_CONTINUOUS,1.3512867474601533,3P_S00032271
3P_S00021854,21854,0.198392340295043,0.025,0.0,0.4177049123673354,0.6957601277803352,51,0.025039541483014,PROFILED_CONTINUOUS,1.4923294711881547,3P_S00018240
3P_S00021875,21875,0.16696475967296992,0.025,0.0,0.746980707537128,0.4546115307094665,52,0.028137602818768172,PROFILED_CONTINUOUS,1.3050102764413285,3P_S00022590
