true_gamma,regime,samples,median_gamma_factor_error,p90_gamma_factor_error,within_factor_1p2,within_factor_1p5,within_factor_2,median_g_profile_relative_l2,mean_g_profile_relative_l2,median_f_relative_l2,mean_f_relative_l2,nuisance_a1_norm_abs_mean,nuisance_a2_norm_abs_mean,nuisance_a3_norm_abs_mean,nuisance_m_norm_abs_mean
0.01,oracle_nuisance,250,1.1220184636270978,1.5895211415638948,0.636,0.888,0.956,0.002003825269639492,0.0020030841697007418,0.05681593716144562,0.08464402705430984,0.15682392406463624,0.06235387706756592,0.11323597145080566,0.23149127388000487
0.01,pred_a1_only,250,9.99999952502551,97.44651556015013,0.012,0.044,0.088,0.002990818116813898,0.021280527114868164,0.8023741245269775,0.9467855095863342,0.15682392406463624,0.06235387706756592,0.11323597145080566,0.23149127388000487
0.01,true_a1_pred_rest,250,9.99999952502551,86.59643530845642,0.0,0.0,0.008,0.015535097569227219,0.03977864235639572,1.0026724338531494,1.5417832136154175,0.15682392406463624,0.06235387706756592,0.11323597145080566,0.23149127388000487
0.01,pred_all,250,9.99999952502551,81.99102699756621,0.02,0.024,0.06,0.0037051336839795113,0.009385406039655209,0.9941983222961426,1.3604862689971924,0.15682392406463624,0.06235387706756592,0.11323597145080566,0.23149127388000487
0.05,oracle_nuisance,250,1.031644344329834,1.0927730798721313,0.972,0.992,1.0,0.001987806987017393,0.001985186478123069,0.011924566701054573,0.012574674561619759,0.1406589632034302,0.06837256288528443,0.1319468641281128,0.19546170425415038
0.05,pred_a1_only,250,15.435830354690552,49.99999762512755,0.028,0.072,0.136,0.003016419243067503,0.016871772706508636,0.5376611948013306,1.4400134086608887,0.1406589632034302,0.06837256288528443,0.1319468641281128,0.19546170425415038
0.05,true_a1_pred_rest,250,49.99999762512755,49.99999762512755,0.016,0.032,0.072,0.009685089811682701,0.03414177522063255,1.0537817478179932,1.9395214319229126,0.1406589632034302,0.06837256288528443,0.1319468641281128,0.19546170425415038
0.05,pred_all,250,5.547680115970989,49.99999762512755,0.076,0.2,0.308,0.003089380916208029,0.006217901594936848,1.009061574935913,1.837165117263794,0.1406589632034302,0.06837256288528443,0.1319468641281128,0.19546170425415038
0.2,oracle_nuisance,250,1.0023744473385656,1.0267625004053116,0.996,1.0,1.0,0.0019837217405438423,0.001985133159905672,0.00020686967764049768,0.0011692797997966409,0.15665390968322754,0.07736931991577148,0.14580302715301513,0.22400616264343262
0.2,pred_a1_only,250,5.0,199.9999905005102,0.06,0.156,0.256,0.002989410888403654,0.01865655928850174,0.2515326738357544,1.409063696861267,0.15665390968322754,0.07736931991577148,0.14580302715301513,0.22400616264343262
0.2,true_a1_pred_rest,250,5.0,199.9999905005102,0.044,0.124,0.204,0.006354885175824165,0.027102315798401833,0.6783527135848999,1.7615036964416504,0.15665390968322754,0.07736931991577148,0.14580302715301513,0.22400616264343262
0.2,pred_all,250,4.6642451911441265,199.9999905005102,0.06,0.132,0.22,0.002890190575271845,0.009835919365286827,0.7041396498680115,1.8530573844909668,0.15665390968322754,0.07736931991577148,0.14580302715301513,0.22400616264343262
0.5,oracle_nuisance,250,1.0,1.0023744106292725,1.0,1.0,1.0,0.002000335371121764,0.0019985383842140436,0.0,0.00022350683866534382,0.1709977684020996,0.0676142258644104,0.13038607025146484,0.23391634941101075
0.5,pred_a1_only,250,2.0,499.9999762512755,0.092,0.18,0.596,0.003083676565438509,0.021634327247738838,0.1306995451450348,1.0335220098495483,0.1709977684020996,0.0676142258644104,0.13038607025146484,0.23391634941101075
0.5,true_a1_pred_rest,250,2.0,499.9999762512755,0.12,0.228,0.644,0.005099797621369362,0.03279701992869377,0.26958900690078735,1.1592506170272827,0.1709977684020996,0.0676142258644104,0.13038607025146484,0.23391634941101075
0.5,pred_all,250,3.0652789866749686,499.9999762512755,0.08,0.152,0.424,0.0032800615299493074,0.016876857727766037,0.440123975276947,1.6125038862228394,0.1709977684020996,0.0676142258644104,0.13038607025146484,0.23391634941101075
