stage,domain,anchor_id,true_a1,true_m,true_gamma,grid_margin,continuous_margin,trigger,alias_a1,alias_m,alias_gamma
2p,development,0,0.06849860241636635,0.8,0.010648727621883155,0.01446341684955968,0.0032736893086725842,gamma_high,0.06859300499603185,0.8,0.012778473146259791
2p,development,1,0.18381286370567979,0.8,0.5542002195399255,0.1851197771681203,0.1851197771681204,a1_low,0.1786267411884266,0.8,0.5
2p,development,2,0.15788195985369385,0.8,0.37604771069251003,0.17932473558249026,0.17932473558249015,a1_high,0.16298081644529933,0.8,0.43
2p,development,3,0.0897425605915487,0.8,0.8229191629029811,0.22007704990874583,0.21937279467459903,a1_low,0.08469245703437925,0.8,0.6871300820137365
2p,development,4,0.12017345791682603,0.8,0.4418443391565233,0.18988773779865364,0.1898877377986537,a1_low,0.11517345791682602,0.8,0.37
2p,development,5,0.13206517728976908,0.8,0.8887161712348461,0.20716836101689812,0.2071683610168981,a1_high,0.13706517728976908,0.8,0.99
2p,development,6,0.17205625656060877,0.8,0.20007133845239877,0.14095843484672996,0.11762985902111997,gamma_low,0.1682732265065475,0.8,0.16672611537699897
2p,development,7,0.07549432432278991,0.8,0.7436225095111877,0.19705997778944742,0.18246409745387926,gamma_low,0.0713409337948149,0.8,0.6196854245926564
2p,development,8,0.08615823052823544,0.8,0.31570792448706925,0.11544774248306966,0.10911295855262222,gamma_low,0.08331172559387556,0.8,0.26308993707255773
2p,development,9,0.1662910653743893,0.8,0.7665068968012929,0.19644960371333464,0.19424567128670125,a1_high,0.17129106537438932,0.8,0.8385594341426438
2p,development,10,0.14036645577289164,0.8,0.07768053144216537,0.05045473129591911,0.037068686597755945,gamma_low,0.13916454020009073,0.8,0.06473377620180448
2p,development,11,0.10739475004374982,0.8,0.6174254118744283,0.21112714746750227,0.21112714746750075,a1_low,0.10220965823348671,0.8,0.52
2p,development,12,0.10032807923853398,0.8,0.13587950045242905,0.059393712037411374,0.05206808448125935,gamma_low,0.09881667915845499,0.8,0.11323291704369087
2p,development,13,0.15204752744175495,0.8,0.6756237576063723,0.19873420788860743,0.19585702451301681,a1_high,0.15706930209568346,0.8,0.7489072369255377
2p,development,14,0.19203689009882513,0.8,0.49728971618227663,0.17334835223198586,0.17334835223198605,a1_low,0.18703689009882513,0.8,0.45
2p,development,15,0.055651806667447096,0.8,0.9480892527662218,0.15210197851315466,0.15202780929490786,gamma_low,0.052363595064656175,0.8,0.7900743773051848
2p,development,16,0.050150210270658135,0.8,0.4477014256734401,0.11325047843319581,0.10989206821952378,gamma_high,0.05265875426544261,0.8,0.5372417108081281
