stage,noise_level,a1_bin_lo,a1_bin_hi,count,a1_recovery,m_recovery,gamma_recovery,joint_recovery
2p,0.0,0.0,0.01,5,1.0,1.0,1.0,1.0
2p,0.0,0.01,0.025,7,1.0,1.0,1.0,1.0
2p,0.0,0.025,0.05,12,1.0,1.0,1.0,1.0
2p,0.0,0.05,0.1,24,1.0,1.0,1.0,1.0
2p,0.0,0.1,0.15,24,1.0,1.0,1.0,1.0
2p,0.0,0.15,0.2000001,24,1.0,1.0,1.0,1.0
2p,0.002,0.0,0.01,20,1.0,1.0,0.0,0.0
2p,0.002,0.01,0.025,28,1.0,1.0,0.39285714285714285,0.39285714285714285
2p,0.002,0.025,0.05,48,1.0,1.0,0.4583333333333333,0.4583333333333333
2p,0.002,0.05,0.1,96,0.9895833333333334,1.0,0.7708333333333334,0.7708333333333334
2p,0.002,0.1,0.15,96,0.9270833333333334,1.0,0.8020833333333334,0.8020833333333334
2p,0.002,0.15,0.2000001,96,0.9583333333333334,1.0,0.875,0.84375
3p,0.0,0.0,0.01,4,1.0,0.75,0.75,0.5
3p,0.0,0.01,0.025,8,0.875,1.0,0.75,0.75
3p,0.0,0.025,0.05,12,1.0,1.0,0.8333333333333334,0.8333333333333334
3p,0.0,0.05,0.1,24,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.875
3p,0.0,0.1,0.15,24,0.7916666666666666,1.0,0.875,0.7083333333333334
3p,0.0,0.15,0.2000001,24,0.7083333333333334,0.9166666666666666,0.9166666666666666,0.6666666666666666
3p,0.002,0.0,0.01,16,0.9375,0.0,0.0,0.0
3p,0.002,0.01,0.025,32,0.5625,0.25,0.125,0.03125
3p,0.002,0.025,0.05,48,0.22916666666666666,0.2708333333333333,0.041666666666666664,0.020833333333333332
3p,0.002,0.05,0.1,96,0.19791666666666666,0.28125,0.15625,0.08333333333333333
3p,0.002,0.1,0.15,96,0.1875,0.34375,0.19791666666666666,0.125
3p,0.002,0.15,0.2000001,96,0.17708333333333334,0.4479166666666667,0.3125,0.125
