stage,domain,anchor_id,a1,m,gamma,sigma_min,condition,abs_cos_a1_loggamma,abs_cos_a1_m,abs_cos_m_loggamma
2p,development,0,0.06849860241636635,0.8,0.010648727621883155,0.029784137640495804,1979.8855896789157,0.9995683171825392,,
2p,development,1,0.18381286370567979,0.8,0.5542002195399255,1.5888333603294154,49.827527588213194,0.9988044556449578,,
2p,development,2,0.15788195985369385,0.8,0.37604771069251003,1.3845344025741966,48.74102762007031,0.9990976249975864,,
2p,development,3,0.0897425605915487,0.8,0.8229191629029811,1.5992019300943168,35.240045244977544,0.9983810416976465,,
2p,development,4,0.12017345791682603,0.8,0.4418443391565233,1.4137379026443992,44.74251166608177,0.9989914116905242,,
2p,development,5,0.13206517728976908,0.8,0.8887161712348461,1.752324154634496,38.2930611173814,0.9982918342129062,,
2p,development,6,0.17205625656060877,0.8,0.20007133845239877,1.0012457575267557,56.54073684102749,0.9993537799901203,,
2p,development,7,0.07549432432278991,0.8,0.7436225095111877,1.4614949622144282,36.75929329248064,0.9984978429828671,,
2p,development,8,0.08615823052823544,0.8,0.31570792448706925,1.022065129460037,55.34792670111195,0.9991908382547019,,
2p,development,9,0.1662910653743893,0.8,0.7665068968012929,1.7236237715040816,44.586827358499704,0.9984631974303895,,
2p,development,10,0.14036645577289164,0.8,0.07768053144216537,0.3955130257333626,127.78862717827175,0.9994996424895123,,
2p,development,11,0.10739475004374982,0.8,0.6174254118744283,1.5611522884810045,39.70564667005235,0.998699347338858,,
2p,development,12,0.10032807923853398,0.8,0.13587950045242905,0.5469892662445207,99.02293297747725,0.9994337693208813,,
2p,development,13,0.15204752744175495,0.8,0.6756237576063723,1.6777616329683303,43.56874618631854,0.9986045518384498,,
2p,development,14,0.19203689009882513,0.8,0.49728971618227663,1.5352929264624133,51.590868689002804,0.998899576638665,,
2p,development,15,0.055651806667447096,0.8,0.9480892527662218,1.31637799306704,35.748960366059364,0.9982181758907449,,
2p,development,16,0.050150210270658135,0.8,0.4477014256734401,0.9133772968473843,57.95971746500284,0.9989817867504583,,
2p,development,17,0.19739119745790962,0.8,0.9912529452517629,1.760858201408115,47.73256684006753,0.9981689690601504,,
2p,development,18,0.14832264669239523,0.8,0.1942293581366539,0.9312436221294399,59.576338338111896,0.9993613812493067,,
2p,development,19,0.1039068511221558,0.8,0.6411008416954428,1.566298500177515,39.02024595951285,0.9986604810283851,,
2p,development,20,0.11097592250443997,0.8,0.12866274887695908,0.5558277390273658,96.19037197616352,0.9994422758933017,,
2p,development,21,0.13663946054875853,0.8,0.5755345532950014,1.5942821842398014,43.09306693531504,0.9987688401936975,,
2p,development,22,0.1716477643698454,0.8,0.2580185832362622,1.1676460792052497,52.57420393669955,0.9992749928579161,,
2p,development,23,0.0806545285973698,0.8,0.8015697229467332,1.5306518991216846,35.49297135434335,0.9984115589611751,,
2p,development,24,0.07015602025203407,0.8,0.2499052264355123,0.7466277156729483,74.50696451918625,0.9992863858527027,,
2p,development,25,0.1775418139062822,0.8,0.7007041710894555,1.6881915751689478,47.15829051024686,0.9985646000166121,,
2p,development,26,0.12846582448109986,0.8,0.3832488839980215,1.3463463043921728,46.897080023033034,0.9990862023214796,,
2p,development,27,0.12391895535402002,0.8,0.9229937330819666,1.7485629809146808,36.94188987823096,0.9982484797281393,,
2p,development,28,0.09348559486679733,0.8,0.3253110907319933,1.0890720766490738,52.61666347238801,0.999176329876356,,
2p,development,29,0.15428478410467505,0.8,0.8650553755462169,1.7591444249394717,41.67435523899623,0.9983230353972766,,
2p,development,30,0.18929594894871116,0.8,0.06809247139841318,0.41774080711673867,112.3279002064079,0.9995099139959495,,
2p,development,31,0.06316248434595764,0.8,0.5188920393306762,1.1584320645761634,46.29397079408207,0.9988635019703237,,
2p,development,32,0.05981560116633773,0.8,0.36280083080753683,0.8975658051535944,60.918748021554244,0.9991184843799529,,
2p,development,33,0.18772523435764016,0.8,0.8439939242880792,1.7393162804017936,47.29509820272732,0.998351649176208,,
2p,development,34,0.15740266921930018,0.8,0.03211338094435632,0.17401388788092934,279.56122556105197,0.9995470906417371,,
2p,development,35,0.0948274007998407,0.8,0.5403764347173273,1.433762157651745,41.30261113670767,0.9988275703897972,,
2p,development,36,0.1206464677117765,0.8,0.21392587044276298,0.9134056380735749,61.12323089325768,0.9993354989017711,,
2p,development,37,0.12696948754601184,0.8,0.7221893040835857,1.6806360511311986,39.666037840738845,0.9985309078756481,,
2p,development,38,0.1807318057399243,0.8,0.42073883060365913,1.456619154717996,50.56124196480791,0.9990258931366999,,
2p,development,39,0.07156991502270103,0.8,0.901931603224948,1.4893219417171102,34.301464995303505,0.9982748558434561,,
2p,development,40,0.07982656098902226,0.8,0.08778921973891556,0.2961593271892086,188.68320532637927,0.9994886399874605,,
2p,development,41,0.16787184537388386,0.8,0.5999797936156392,1.6290077237670628,46.87357449268008,0.99872819494337,,
2p,development,42,0.1375498524401337,0.8,0.2983482596278191,1.2023232052616815,50.58363243668037,0.9992167180771929,,
2p,development,43,0.11483435519039632,0.8,0.775734741622582,1.6811184325584583,37.61537891312402,0.9984494319804672,,
2p,development,44,0.10315099023282528,0.8,0.4880313676036894,1.4135520770593046,42.92300372886651,0.9989150029343552,,
2p,development,45,0.14461881653405728,0.8,0.9654172263201326,1.778062091518529,39.35732352214971,0.9981979808646363,,
2p,development,46,0.1983759848866612,0.8,0.15335562246851625,0.8681743431418539,60.93217104489758,0.9994127639967832,,
2p,development,47,0.05408302061259747,0.8,0.6655467606149614,1.176219018205521,42.857526615362694,0.9986207736709833,,
2p,development,48,0.05883263484574855,0.8,0.17336891782470049,0.4637932101089917,122.06823105818609,0.999387999824354,,
2p,development,49,0.19347825907170774,0.8,0.6545620389655232,1.651950936424074,50.32919164313847,0.9986385571056745,,
2p,development,50,0.1488024961203337,0.8,0.46131088942289356,1.492127687114848,46.38516036402095,0.9989593413824143,,
2p,development,51,0.09882259652949871,0.8,0.9695739745441824,1.6848267541299013,34.0221430993473,0.9981932262312971,,
2p,development,52,0.11050348938442768,0.8,0.2797284191288054,1.0654835057810468,54.12241727466294,0.9992439549759171,,
2p,development,53,0.14173571802675727,0.8,0.7879918251093477,1.7282960650410155,40.687781023126696,0.9984313387009132,,
2p,development,54,0.16297165639698508,0.8,0.11517068642191589,0.6313348826747137,80.13306166741367,0.9994579189042025,,
2p,development,55,0.08457835228182375,0.8,0.5963634276948869,1.4267767063979857,39.91029089718726,0.9987341932550156,,
2p,development,56,0.07648825752548874,0.8,0.40097113272175194,1.1193553745487128,50.08145776347166,0.9990578592798868,,
2p,development,57,0.17596161058172588,0.8,0.9131616789381951,1.7650157117446967,44.6797548239641,0.9982606868064383,,
2p,development,58,0.1312818421982229,0.8,0.24040075114928186,1.0331327548047509,55.574194793280384,0.9992995856169156,,
2p,development,59,0.11647879141382875,0.8,0.717787201795727,1.656389453743407,38.62051533318434,0.9985377681538519,,
2p,development,60,0.09066211613826455,0.8,0.05097881891764701,0.18634835547609852,296.2798014217256,0.9995278603936301,,
2p,development,61,0.16171291833743456,0.8,0.5283647052943706,1.569960393578417,46.92057317933983,0.9988476617829208,,
2p,development,62,0.18295743977651002,0.8,0.3351737666502595,1.3343109094665693,51.47467068766967,0.9991612932885976,,
2p,development,63,0.06473182919435204,0.8,0.8473649361450225,1.4018164502008463,35.78705753292784,0.9983470174615553,,
2p,development,64,0.06626062099821867,0.8,0.41945969660766425,1.0579291205797996,51.830599414002144,0.9990279718709837,,
2p,development,65,0.18128159139305355,0.8,0.8973289814218879,1.7581715386604198,45.70484713558809,0.99828073192519,,
2p,development,66,0.16033061984926464,0.8,0.22432726167142392,1.0570673426455526,54.860046604056215,0.9993215412925806,,
2p,development,67,0.0918985024560243,0.8,0.737001829603687,1.5715898654320268,36.686405756334615,0.9985079954144448,,
2p,development,68,0.1177151777315885,0.8,0.03466366710141301,0.1529094180661462,343.189290837767,0.9995445238809223,,
2p,development,69,0.12989954371005297,0.8,0.5473376117553562,1.5585477886962702,42.904357736981524,0.9988159285191955,,
2p,development,70,0.17428576219826938,0.8,0.35390405188314616,1.361362662303327,50.49065736288497,0.9991323763923442,,
