axis,lo,hi,prebank_count,selected_count,selection_fraction
a1,0.0,0.01,0,0,0.0
a1,0.01,0.025,115,0,0.0
a1,0.025,0.05,264,0,0.0
a1,0.05,0.1,600,60,0.1
a1,0.1,0.15,543,110,0.20257826887661143
a1,0.15,0.2,536,90,0.16791044776119404
m,0.01,0.2942857142857143,294,0,0.0
m,0.2942857142857143,0.5785714285714286,294,0,0.0
m,0.5785714285714286,0.862857142857143,294,49,0.16666666666666666
m,0.862857142857143,1.1471428571428572,294,84,0.2857142857142857
m,1.1471428571428572,1.4314285714285715,294,79,0.2687074829931973
m,1.4314285714285715,1.715714285714286,294,45,0.15306122448979592
m,1.715714285714286,2.0,294,3,0.01020408163265306
gamma,0.01,0.15142857142857144,294,13,0.04421768707482993
gamma,0.15142857142857144,0.29285714285714287,294,78,0.2653061224489796
gamma,0.29285714285714287,0.4342857142857143,294,93,0.3163265306122449
gamma,0.4342857142857143,0.5757142857142857,294,59,0.20068027210884354
gamma,0.5757142857142857,0.7171428571428572,294,14,0.047619047619047616
gamma,0.7171428571428572,0.8585714285714285,294,3,0.01020408163265306
gamma,0.8585714285714285,1.0,294,0,0.0
