threshold_mahalanobis,eligible,selected,identifiable_cover_radius_max,cover_gate_pass,cover_radius_p95
5.0,0,0,nan,0,
4.0,35,0,nan,0,
3.3,181,0,nan,0,
3.0,299,260,0.04166759726605907,1,0.024943901476046394
2.5,543,260,0.07143885371687551,1,0.05011247663507451
2.0,873,260,0.08527261212841028,1,0.0706778657859841
1.5,1164,260,0.11916116505122629,1,0.07891932516200179
1.0,1515,260,0.11352696338412831,1,0.09162743547693675
0.75,1638,260,0.12422746070240868,1,0.09489743854837081
0.5,1718,260,0.11993257605297535,1,0.09702305715146112
0.25,1861,260,0.16071480857232848,1,0.1035784433675639
0.0,2058,260,0.14646247548223087,1,0.11124444221314025
