threshold_mahalanobis,axis,lo,hi,prebank_count,eligible_count,selected_count,eligible_fraction_of_prebank_bin,selected_fraction_of_eligible_bin
0.0,a1,0.0,0.01,0,0,0,0.0,0.0
0.0,a1,0.01,0.025,115,115,15,1.0,0.13043478260869565
0.0,a1,0.025,0.05,264,264,25,1.0,0.0946969696969697
0.0,a1,0.05,0.1,600,600,66,1.0,0.11
0.0,a1,0.1,0.15,543,543,76,1.0,0.13996316758747698
0.0,a1,0.15,0.2,536,536,78,1.0,0.1455223880597015
0.0,m,0.01,0.2942857142857143,294,294,31,1.0,0.1054421768707483
0.0,m,0.2942857142857143,0.5785714285714286,294,294,31,1.0,0.1054421768707483
0.0,m,0.5785714285714286,0.862857142857143,294,294,37,1.0,0.12585034013605442
0.0,m,0.862857142857143,1.1471428571428572,294,294,37,1.0,0.12585034013605442
0.0,m,1.1471428571428572,1.4314285714285715,294,294,44,1.0,0.14965986394557823
0.0,m,1.4314285714285715,1.715714285714286,294,294,40,1.0,0.1360544217687075
0.0,m,1.715714285714286,2.0,294,294,40,1.0,0.1360544217687075
0.0,gamma,0.01,0.15142857142857144,294,294,38,1.0,0.1292517006802721
0.0,gamma,0.15142857142857144,0.29285714285714287,294,294,37,1.0,0.12585034013605442
0.0,gamma,0.29285714285714287,0.4342857142857143,294,294,38,1.0,0.1292517006802721
0.0,gamma,0.4342857142857143,0.5757142857142857,294,294,37,1.0,0.12585034013605442
0.0,gamma,0.5757142857142857,0.7171428571428572,294,294,31,1.0,0.1054421768707483
0.0,gamma,0.7171428571428572,0.8585714285714285,294,294,41,1.0,0.13945578231292516
0.0,gamma,0.8585714285714285,1.0,294,294,38,1.0,0.1292517006802721
0.25,a1,0.0,0.01,0,0,0,0.0,0.0
0.25,a1,0.01,0.025,115,90,15,0.782608695652174,0.16666666666666666
0.25,a1,0.025,0.05,264,237,24,0.8977272727272727,0.10126582278481013
0.25,a1,0.05,0.1,600,559,68,0.9316666666666666,0.12164579606440072
0.25,a1,0.1,0.15,543,494,69,0.9097605893186004,0.1396761133603239
0.25,a1,0.15,0.2,536,481,84,0.8973880597014925,0.17463617463617465
0.25,m,0.01,0.2942857142857143,294,102,20,0.3469387755102041,0.19607843137254902
0.25,m,0.2942857142857143,0.5785714285714286,294,291,35,0.9897959183673469,0.12027491408934708
0.25,m,0.5785714285714286,0.862857142857143,294,292,39,0.9931972789115646,0.13356164383561644
0.25,m,0.862857142857143,1.1471428571428572,294,294,39,1.0,0.1326530612244898
