a1_1,a1_2,gamma,reference_noise_level,max_abs_g_difference,rms_g_difference,l2_g_difference,relative_l2_difference,mean_rms_g,sigma_reference,snr_sep,snr_sep_rms
0.05,0.0875,0.01,0.002,0.005464490503072739,0.0014669765193563757,0.014669765193563757,0.08746107645409215,0.016772907204342307,3.354581440868461e-05,437.30538227046077,43.73053822704608
0.05,0.0875,0.015848931924611134,0.002,0.0054479800164699554,0.0014627157602172664,0.014627157602172664,0.08724743767883147,0.016765142898542224,3.353028579708445e-05,436.2371883941573,43.62371883941572
0.05,0.0875,0.025118864315095794,0.002,0.0054218098521232605,0.0014559640667034495,0.014559640667034494,0.08690849090616037,0.016752840275129497,3.3505680550258995e-05,434.54245453080193,43.4542454530802
0.05,0.0875,0.039810717055349734,0.002,0.005380351096391678,0.0014452715086584811,0.014452715086584812,0.08637069110194684,0.016733355843506777,3.3466711687013556e-05,431.85345550973426,43.18534555097342
0.05,0.0875,0.06309573444801933,0.002,0.005314730107784271,0.0014283572782386013,0.014283572782386015,0.08551738764532013,0.01670253637965012,3.340507275930024e-05,427.5869382266007,42.758693822660064
0.05,0.0875,0.1,0.002,0.005211196839809418,0.0014016918734656764,0.014016918734656764,0.0841657223345237,0.016653951687060138,3.330790337412028e-05,420.82861167261854,42.08286116726185
0.05,0.0875,0.15848931924611143,0.002,0.005049161612987518,0.0013600069702818665,0.013600069702818665,0.08203681927850527,0.0165780070734435,3.3156014146887e-05,410.1840963925263,41.01840963925263
0.05,0.0875,0.25118864315095807,0.002,0.004800613969564438,0.0012961648472924248,0.012961648472924248,0.07873817618771313,0.01646170777695366,3.292341555390732e-05,393.69088093856567,39.36908809385657
0.05,0.0875,0.3981071705534973,0.002,0.00443648174405098,0.0012028085939223112,0.01202808593922311,0.07382968613625865,0.016291666088115705,3.258333217623141e-05,369.1484306812932,36.91484306812932
0.05,0.0875,0.6309573444801934,0.002,0.003949034959077835,0.0010780737665396908,0.01078073766539691,0.06710908203280913,0.016064498781441068,3.2128997562882134e-05,335.5454101640457,33.55454101640456
0.05,0.0875,1.0,0.002,0.003379855304956436,0.000932532369662901,0.00932532369662901,0.05902313355046612,0.015799438517874766,3.159887703574953e-05,295.11566775233064,29.511566775233067
0.0875,0.125,0.01,0.002,0.00546448677778244,0.0014669762168717118,0.014669762168717118,0.08044832696282578,0.018235012115908687,3.647002423181737e-05,402.24163481412893,40.224163481412894
0.0875,0.125,0.015848931924611134,0.002,0.005447983741760254,0.0014627159775579645,0.014627159775579645,0.08026755291905534,0.0182230044938958,3.64460089877916e-05,401.3377645952767,40.133776459527674
0.0875,0.125,0.025118864315095794,0.002,0.005421813577413559,0.0014559646473607487,0.014559646473607487,0.07998057719046833,0.018203977746915574,3.640795549383115e-05,399.9028859523416,39.99028859523416
