state_1,state_2,a1_1,a1_2,gamma_1,gamma_2,reference_noise_level,max_abs_g_difference,rms_g_difference,l2_g_difference,relative_l2_difference,mean_rms_g,sigma_reference,snr_sep,snr_sep_rms
0,1,0.05,0.05,0.01,0.015848931924611134,0.002,2.2016465663909912e-05,5.683701451243634e-06,5.683701451243635e-05,0.00035436234208847527,0.016039236612293752,3.207847322458751e-05,1.7718117104423758,0.17718117104423758
0,2,0.05,0.05,0.01,0.025118864315095794,0.002,5.69075345993042e-05,1.4689557361918228e-05,0.0001468955736191823,0.0009161067822904206,0.016034765428973106,3.206953085794621e-05,4.580533911452103,0.4580533911452103
0,3,0.05,0.05,0.01,0.039810717055349734,0.002,0.000112190842628479,2.8953591026054607e-05,0.0002895359102605461,0.001806473794410143,0.01602768394185793,3.205536788371586e-05,9.032368972050714,0.9032368972050714
0,4,0.05,0.05,0.01,0.06309573444801933,0.002,0.00019968301057815552,5.151662018370404e-05,0.0005151662018370404,0.0032164752020849108,0.01601648293458352,3.2032965869167044e-05,16.08237601042455,1.6082376010424548
0,5,0.05,0.05,0.01,0.1,0.002,0.0003377273678779602,8.708871821798621e-05,0.0008708871821798621,0.00544344456600366,0.015998825222155788,3.1997650444311577e-05,27.217222830018297,2.7217222830018297
0,6,0.05,0.05,0.01,0.15848931924611143,0.002,0.0005537755787372589,0.0001427000402182025,0.001427000402182025,0.008934822072876342,0.015971223495474016,3.194244699094803e-05,44.67411036438171,4.467411036438171
0,7,0.05,0.05,0.01,0.25118864315095807,0.002,0.0008851699531078339,0.00022787744091400667,0.0022787744091400668,0.014305863052343798,0.015928954448971355,3.185790889794271e-05,71.52931526171899,7.152931526171899
0,8,0.05,0.05,0.01,0.3981071705534973,0.002,0.0013706795871257782,0.00035244853609411777,0.003524485360941178,0.022212464809903874,0.0158671511293502,3.17343022587004e-05,111.06232404951936,11.106232404951935
0,9,0.05,0.05,0.01,0.6309573444801934,0.002,0.002020612359046936,0.000518924887297416,0.0051892488729741604,0.032875428673714034,0.0157845816231844,3.15691632463688e-05,164.3771433685702,16.437714336857017
0,10,0.05,0.05,0.01,1.0,0.002,0.0027795135974884033,0.0007132301153162498,0.007132301153162498,0.04546274286911161,0.01568823327201479,3.137646654402958e-05,227.31371434555803,22.731371434555804
