state_index,a1,gamma
0,0.05,0.01
1,0.05,0.015848931924611134
2,0.05,0.025118864315095794
3,0.05,0.039810717055349734
4,0.05,0.06309573444801933
5,0.05,0.1
6,0.05,0.15848931924611143
7,0.05,0.25118864315095807
8,0.05,0.3981071705534973
9,0.05,0.6309573444801934
10,0.05,1.0
11,0.0875,0.01
12,0.0875,0.015848931924611134
13,0.0875,0.025118864315095794
14,0.0875,0.039810717055349734
15,0.0875,0.06309573444801933
16,0.0875,0.1
17,0.0875,0.15848931924611143
18,0.0875,0.25118864315095807
19,0.0875,0.3981071705534973
20,0.0875,0.6309573444801934
21,0.0875,1.0
22,0.125,0.01
23,0.125,0.015848931924611134
24,0.125,0.025118864315095794
25,0.125,0.039810717055349734
26,0.125,0.06309573444801933
27,0.125,0.1
28,0.125,0.15848931924611143
29,0.125,0.25118864315095807
30,0.125,0.3981071705534973
31,0.125,0.6309573444801934
32,0.125,1.0
33,0.1625,0.01
34,0.1625,0.015848931924611134
35,0.1625,0.025118864315095794
36,0.1625,0.039810717055349734
37,0.1625,0.06309573444801933
38,0.1625,0.1
39,0.1625,0.15848931924611143
40,0.1625,0.25118864315095807
41,0.1625,0.3981071705534973
42,0.1625,0.6309573444801934
43,0.1625,1.0
44,0.2,0.01
45,0.2,0.015848931924611134
46,0.2,0.025118864315095794
47,0.2,0.039810717055349734
48,0.2,0.06309573444801933
49,0.2,0.1
50,0.2,0.15848931924611143
51,0.2,0.25118864315095807
52,0.2,0.3981071705534973
53,0.2,0.6309573444801934
54,0.2,1.0
