state_index,m,gamma
0,0.4,0.01
1,0.4,0.015848931924611134
2,0.4,0.025118864315095794
3,0.4,0.039810717055349734
4,0.4,0.06309573444801933
5,0.4,0.1
6,0.4,0.15848931924611143
7,0.4,0.25118864315095807
8,0.4,0.3981071705534973
9,0.4,0.6309573444801934
10,0.4,1.0
11,0.6,0.01
12,0.6,0.015848931924611134
13,0.6,0.025118864315095794
14,0.6,0.039810717055349734
15,0.6,0.06309573444801933
16,0.6,0.1
17,0.6,0.15848931924611143
18,0.6,0.25118864315095807
19,0.6,0.3981071705534973
20,0.6,0.6309573444801934
21,0.6,1.0
22,0.8,0.01
23,0.8,0.015848931924611134
24,0.8,0.025118864315095794
25,0.8,0.039810717055349734
26,0.8,0.06309573444801933
27,0.8,0.1
28,0.8,0.15848931924611143
29,0.8,0.25118864315095807
30,0.8,0.3981071705534973
31,0.8,0.6309573444801934
32,0.8,1.0
33,1.0,0.01
34,1.0,0.015848931924611134
35,1.0,0.025118864315095794
36,1.0,0.039810717055349734
37,1.0,0.06309573444801933
38,1.0,0.1
39,1.0,0.15848931924611143
40,1.0,0.25118864315095807
41,1.0,0.3981071705534973
42,1.0,0.6309573444801934
43,1.0,1.0
44,1.2,0.01
45,1.2,0.015848931924611134
46,1.2,0.025118864315095794
47,1.2,0.039810717055349734
48,1.2,0.06309573444801933
49,1.2,0.1
50,1.2,0.15848931924611143
51,1.2,0.25118864315095807
52,1.2,0.3981071705534973
53,1.2,0.6309573444801934
54,1.2,1.0
