a1_1,a1_2,gamma,reference_noise_level,max_abs_g_difference,rms_g_difference,l2_g_difference,relative_l2_difference,mean_rms_g,sigma_reference,snr_sep,snr_sep_rms
0.05,0.065,0.01,0.002,0.0021857954561710358,0.0005867906180065908,0.005867906180065908,0.03592373733758937,0.01633434217860716,3.2668684357214316e-05,179.61868668794685,17.961868668794683
0.05,0.065,0.015848931924611134,0.002,0.0021791942417621613,0.000585086561682494,0.00585086561682494,0.035833654595795794,0.016327850683450516,3.265570136690103e-05,179.16827297897896,17.916827297897896
0.05,0.065,0.025118864315095794,0.002,0.0021687261760234833,0.0005823858604466806,0.005823858604466806,0.035690733844036086,0.016317564749204424,3.263512949840885e-05,178.45366922018042,17.845366922018044
0.05,0.065,0.039810717055349734,0.002,0.002152141183614731,0.0005781086718027928,0.005781086718027927,0.03546401789446355,0.016301273970794037,3.2602547941588076e-05,177.3200894723178,17.73200894723178
0.05,0.065,0.06309573444801933,0.002,0.002125892788171768,0.0005713427924464169,0.005713427924464169,0.03510445597620847,0.016275506244382086,3.2551012488764174e-05,175.52227988104232,17.55222798810423
0.05,0.065,0.1,0.002,0.002084478735923767,0.0005606766286888042,0.005606766286888042,0.03453529978279898,0.016234885239596528,3.246977047919306e-05,172.67649891399486,17.267649891399486
0.05,0.065,0.15848931924611143,0.002,0.0020196661353111267,0.0005440027161826086,0.005440027161826086,0.03363982700417673,0.01617138863749403,3.234277727498806e-05,168.1991350208837,16.81991350208837
0.05,0.065,0.25118864315095807,0.002,0.0019202455878257751,0.0005184660622187581,0.005184660622187582,0.03225464650163063,0.01607415112091051,3.214830224182102e-05,161.27323250815311,16.127323250815312
0.05,0.065,0.3981071705534973,0.002,0.0017745941877365112,0.00048112370697173004,0.0048112370697173,0.03019861825885301,0.015931977511278485,3.186395502255697e-05,150.99309129426504,15.099309129426507
0.05,0.065,0.6309573444801934,0.002,0.0015796162188053131,0.00043122955852157387,0.0043122955852157386,0.027393506397523224,0.015742035804535173,3.148407160907034e-05,136.96753198761613,13.696753198761611
0.05,0.065,1.0,0.002,0.0013519413769245148,0.0003730129110740548,0.003730129110740548,0.024033713529066424,0.015520402647012169,3.1040805294024336e-05,120.16856764533215,12.016856764533214
0.065,0.08,0.01,0.002,0.0021857954561710358,0.0005867905409825141,0.0058679054098251405,0.034682372121225984,0.01691898521045485,3.38379704209097e-05,173.41186060612992,17.341186060612994
0.065,0.08,0.015848931924611134,0.002,0.002179190516471863,0.0005850860716142249,0.00585086071614225,0.034598372529484084,0.016910797498224106,3.3821594996448216e-05,172.99186264742036,17.299186264742037
