a1,gamma_1,gamma_2,reference_noise_level,max_abs_g_difference,rms_g_difference,l2_g_difference,relative_l2_difference,mean_rms_g,sigma_reference,snr_sep,snr_sep_rms
0.05,0.01,0.015848931924611134,0.002,2.2016465663909912e-05,5.683701451243634e-06,5.683701451243635e-05,0.00035436234208847527,0.016039236612293752,3.207847322458751e-05,1.7718117104423758,0.17718117104423758
0.05,0.015848931924611134,0.025118864315095794,0.002,3.489106893539429e-05,9.00585594919867e-06,9.00585594919867e-05,0.000561744489105337,0.01603194356840395,3.20638871368079e-05,2.8087224455266853,0.2808722445526685
0.05,0.025118864315095794,0.039810717055349734,0.002,5.5283308029174805e-05,1.4264033908346736e-05,0.00014264033908346736,0.0008903674073368492,0.016020390897968126,3.2040781795936255e-05,4.451837036684245,0.4451837036684245
0.05,0.039810717055349734,0.06309573444801933,0.002,8.749216794967651e-05,2.256303038275768e-05,0.0002256303038275768,0.0014100035953832143,0.016002108403578533,3.200421680715707e-05,7.050017976916072,0.7050017976916072
0.05,0.06309573444801933,0.1,0.002,0.0001380443572998047,3.557210341171358e-05,0.00035572103411713574,0.0022269797389832652,0.01597324968387639,3.1946499367752785e-05,11.134898694916327,1.1134898694916329
0.05,0.1,0.15848931924611143,0.002,0.0002160482108592987,5.5611342297394646e-05,0.0005561134229739465,0.0034914224232191274,0.01592799024476689,3.185598048953378e-05,17.45711211609564,1.7457112116095639
0.05,0.15848931924611143,0.25118864315095807,0.002,0.00033139437437057495,8.517746649836389e-05,0.0008517746649836389,0.005371221136970293,0.015858119471582457,3.1716238943164916e-05,26.85610568485147,2.685610568485147
0.05,0.25118864315095807,0.3981071705534973,0.002,0.00048550963401794434,0.00012457127508924245,0.0012457127508924248,0.007907255466189358,0.015754047105458642,3.150809421091728e-05,39.53627733094679,3.9536277330946783
0.05,0.3981071705534973,0.6309573444801934,0.002,0.0006499327719211578,0.00016647671382241284,0.0016647671382241283,0.010664970379248316,0.015609674279671687,3.1219348559343376e-05,53.324851896241576,5.332485189624157
0.05,0.6309573444801934,1.0,0.002,0.0007589012384414673,0.00019430555128942283,0.0019430555128942286,0.012592095032241086,0.015430756422336274,3.0861512844672546e-05,62.960475161205444,6.296047516120543
