state,nearest_state,a1,nearest_a1,gamma,nearest_gamma,relative_l2_difference,snr_sep,snr_sep_rms
0,1,0.05,0.05,0.01,0.015848931924611134,0.00035436234208847527,1.7718117104423758,0.17718117104423758
1,0,0.05,0.05,0.015848931924611134,0.01,0.00035436234208847527,1.7718117104423758,0.17718117104423758
2,1,0.05,0.05,0.025118864315095794,0.015848931924611134,0.000561744489105337,2.8087224455266853,0.2808722445526685
3,2,0.05,0.05,0.039810717055349734,0.025118864315095794,0.0008903674073368492,4.451837036684245,0.4451837036684245
4,3,0.05,0.05,0.06309573444801933,0.039810717055349734,0.0014100035953832143,7.050017976916072,0.7050017976916072
5,20,0.05,0.065,0.1,0.6309573444801934,0.0012338539684381858,6.169269842190928,0.6169269842190929
6,5,0.05,0.05,0.15848931924611143,0.1,0.0034914224232191274,17.45711211609564,1.7457112116095639
7,6,0.05,0.05,0.25118864315095807,0.15848931924611143,0.005371221136970293,26.85610568485147,2.685610568485147
8,21,0.05,0.065,0.3981071705534973,1.0,0.0014909415180411412,7.454707590205706,0.7454707590205706
9,8,0.05,0.05,0.6309573444801934,0.3981071705534973,0.010664970379248316,53.324851896241576,5.332485189624157
10,9,0.05,0.05,1.0,0.6309573444801934,0.012592095032241086,62.960475161205444,6.296047516120543
11,12,0.065,0.065,0.01,0.015848931924611134,0.0004444769138164314,2.222384569082157,0.22223845690821567
12,11,0.065,0.065,0.015848931924611134,0.01,0.0004444769138164314,2.222384569082157,0.22223845690821567
13,12,0.065,0.065,0.025118864315095794,0.015848931924611134,0.0007047170127327301,3.5235850636636497,0.35235850636636495
14,13,0.065,0.065,0.039810717055349734,0.025118864315095794,0.0011171662732335835,5.585831366167918,0.5585831366167918
15,14,0.065,0.065,0.06309573444801933,0.039810717055349734,0.0017697010075722536,8.848505037861267,0.8848505037861268
16,15,0.065,0.065,0.1,0.06309573444801933,0.0027963589829831845,13.981794914915922,1.3981794914915924
17,43,0.065,0.095,0.15848931924611143,1.0,0.0024440514988456705,12.22025749422835,1.222025749422835
18,31,0.065,0.08,0.25118864315095807,0.6309573444801934,0.003427739545696842,17.13869772848421,1.713869772848421
19,32,0.065,0.08,0.3981071705534973,1.0,0.006118671509700562,30.593357548502812,3.0593357548502818
20,5,0.065,0.05,0.6309573444801934,0.1,0.0012338539684381858,6.169269842190928,0.6169269842190929
21,8,0.065,0.05,1.0,0.3981071705534973,0.0014909415180411412,7.454707590205706,0.7454707590205706
22,23,0.08,0.08,0.01,0.015848931924611134,0.0005284969928547462,2.6424849642737307,0.264248496427373
23,22,0.08,0.08,0.015848931924611134,0.01,0.0005284969928547462,2.6424849642737307,0.264248496427373
24,23,0.08,0.08,0.025118864315095794,0.015848931924611134,0.0008379931364241992,4.189965682120995,0.4189965682120995
25,24,0.08,0.08,0.039810717055349734,0.025118864315095794,0.0013287040296503442,6.643520148251721,0.6643520148251721
26,41,0.08,0.095,0.06309573444801933,0.3981071705534973,0.0011178978213587942,5.5894891067939705,0.558948910679397
27,26,0.08,0.08,0.1,0.06309573444801933,0.003328160204507712,16.64080102253856,1.6640801022538558
28,27,0.08,0.08,0.15848931924611143,0.1,0.005225190517974431,26.12595258987216,2.6125952589872163
