state_index,a1,gamma
0,0.05,0.01
1,0.05,0.015848931924611134
2,0.05,0.025118864315095794
3,0.05,0.039810717055349734
4,0.05,0.06309573444801933
5,0.05,0.1
6,0.05,0.15848931924611143
7,0.05,0.25118864315095807
8,0.05,0.3981071705534973
9,0.05,0.6309573444801934
10,0.05,1.0
11,0.065,0.01
12,0.065,0.015848931924611134
13,0.065,0.025118864315095794
14,0.065,0.039810717055349734
15,0.065,0.06309573444801933
16,0.065,0.1
17,0.065,0.15848931924611143
18,0.065,0.25118864315095807
19,0.065,0.3981071705534973
20,0.065,0.6309573444801934
21,0.065,1.0
22,0.08,0.01
23,0.08,0.015848931924611134
24,0.08,0.025118864315095794
25,0.08,0.039810717055349734
26,0.08,0.06309573444801933
27,0.08,0.1
28,0.08,0.15848931924611143
29,0.08,0.25118864315095807
30,0.08,0.3981071705534973
31,0.08,0.6309573444801934
32,0.08,1.0
33,0.095,0.01
34,0.095,0.015848931924611134
35,0.095,0.025118864315095794
36,0.095,0.039810717055349734
37,0.095,0.06309573444801933
38,0.095,0.1
39,0.095,0.15848931924611143
40,0.095,0.25118864315095807
41,0.095,0.3981071705534973
42,0.095,0.6309573444801934
43,0.095,1.0
44,0.11,0.01
45,0.11,0.015848931924611134
46,0.11,0.025118864315095794
47,0.11,0.039810717055349734
48,0.11,0.06309573444801933
49,0.11,0.1
50,0.11,0.15848931924611143
51,0.11,0.25118864315095807
52,0.11,0.3981071705534973
53,0.11,0.6309573444801934
54,0.11,1.0
55,0.125,0.01
56,0.125,0.015848931924611134
57,0.125,0.025118864315095794
58,0.125,0.039810717055349734
59,0.125,0.06309573444801933
60,0.125,0.1
61,0.125,0.15848931924611143
62,0.125,0.25118864315095807
63,0.125,0.3981071705534973
64,0.125,0.6309573444801934
65,0.125,1.0
66,0.14,0.01
67,0.14,0.015848931924611134
68,0.14,0.025118864315095794
69,0.14,0.039810717055349734
70,0.14,0.06309573444801933
71,0.14,0.1
72,0.14,0.15848931924611143
73,0.14,0.25118864315095807
74,0.14,0.3981071705534973
75,0.14,0.6309573444801934
76,0.14,1.0
77,0.155,0.01
78,0.155,0.015848931924611134
79,0.155,0.025118864315095794
80,0.155,0.039810717055349734
81,0.155,0.06309573444801933
82,0.155,0.1
83,0.155,0.15848931924611143
84,0.155,0.25118864315095807
85,0.155,0.3981071705534973
86,0.155,0.6309573444801934
87,0.155,1.0
88,0.17,0.01
89,0.17,0.015848931924611134
90,0.17,0.025118864315095794
91,0.17,0.039810717055349734
92,0.17,0.06309573444801933
93,0.17,0.1
94,0.17,0.15848931924611143
95,0.17,0.25118864315095807
96,0.17,0.3981071705534973
97,0.17,0.6309573444801934
98,0.17,1.0
99,0.185,0.01
100,0.185,0.015848931924611134
101,0.185,0.025118864315095794
102,0.185,0.039810717055349734
103,0.185,0.06309573444801933
104,0.185,0.1
105,0.185,0.15848931924611143
106,0.185,0.25118864315095807
107,0.185,0.3981071705534973
108,0.185,0.6309573444801934
109,0.185,1.0
110,0.2,0.01
111,0.2,0.015848931924611134
112,0.2,0.025118864315095794
113,0.2,0.039810717055349734
114,0.2,0.06309573444801933
115,0.2,0.1
116,0.2,0.15848931924611143
117,0.2,0.25118864315095807
118,0.2,0.3981071705534973
119,0.2,0.6309573444801934
120,0.2,1.0
