state_index,a1_index,gamma_index,a1,gamma
0,0,0,0.05,0.01
1,0,1,0.05,0.03162277660168379
2,0,2,0.05,0.1
3,0,3,0.05,0.31622776601683794
4,0,4,0.05,1.0
5,1,0,0.065,0.01
6,1,1,0.065,0.03162277660168379
7,1,2,0.065,0.1
8,1,3,0.065,0.31622776601683794
9,1,4,0.065,1.0
10,2,0,0.08000000000000002,0.01
11,2,1,0.08000000000000002,0.03162277660168379
12,2,2,0.08000000000000002,0.1
13,2,3,0.08000000000000002,0.31622776601683794
14,2,4,0.08000000000000002,1.0
15,3,0,0.09500000000000001,0.01
16,3,1,0.09500000000000001,0.03162277660168379
17,3,2,0.09500000000000001,0.1
18,3,3,0.09500000000000001,0.31622776601683794
19,3,4,0.09500000000000001,1.0
20,4,0,0.11000000000000001,0.01
21,4,1,0.11000000000000001,0.03162277660168379
22,4,2,0.11000000000000001,0.1
23,4,3,0.11000000000000001,0.31622776601683794
24,4,4,0.11000000000000001,1.0
25,5,0,0.125,0.01
26,5,1,0.125,0.03162277660168379
27,5,2,0.125,0.1
28,5,3,0.125,0.31622776601683794
29,5,4,0.125,1.0
30,6,0,0.14,0.01
31,6,1,0.14,0.03162277660168379
32,6,2,0.14,0.1
33,6,3,0.14,0.31622776601683794
34,6,4,0.14,1.0
35,7,0,0.15500000000000003,0.01
36,7,1,0.15500000000000003,0.03162277660168379
37,7,2,0.15500000000000003,0.1
38,7,3,0.15500000000000003,0.31622776601683794
39,7,4,0.15500000000000003,1.0
40,8,0,0.17000000000000004,0.01
41,8,1,0.17000000000000004,0.03162277660168379
42,8,2,0.17000000000000004,0.1
43,8,3,0.17000000000000004,0.31622776601683794
44,8,4,0.17000000000000004,1.0
45,9,0,0.18500000000000005,0.01
46,9,1,0.18500000000000005,0.03162277660168379
47,9,2,0.18500000000000005,0.1
48,9,3,0.18500000000000005,0.31622776601683794
49,9,4,0.18500000000000005,1.0
50,10,0,0.2,0.01
51,10,1,0.2,0.03162277660168379
52,10,2,0.2,0.1
53,10,3,0.2,0.31622776601683794
54,10,4,0.2,1.0
