state_index,a1_index,gamma_index,a1,gamma
0,0,0,0.05,0.01
1,0,1,0.05,0.1
2,0,2,0.05,1.0
3,1,0,0.06875,0.01
4,1,1,0.06875,0.1
5,1,2,0.06875,1.0
6,2,0,0.08750000000000001,0.01
7,2,1,0.08750000000000001,0.1
8,2,2,0.08750000000000001,1.0
9,3,0,0.10625000000000001,0.01
10,3,1,0.10625000000000001,0.1
11,3,2,0.10625000000000001,1.0
12,4,0,0.125,0.01
13,4,1,0.125,0.1
14,4,2,0.125,1.0
15,5,0,0.14375000000000002,0.01
16,5,1,0.14375000000000002,0.1
17,5,2,0.14375000000000002,1.0
18,6,0,0.16250000000000003,0.01
19,6,1,0.16250000000000003,0.1
20,6,2,0.16250000000000003,1.0
21,7,0,0.18125000000000002,0.01
22,7,1,0.18125000000000002,0.1
23,7,2,0.18125000000000002,1.0
24,8,0,0.2,0.01
25,8,1,0.2,0.1
26,8,2,0.2,1.0
