state,nearest_state,a1,nearest_a1,gamma,nearest_gamma,relative_l2_difference,snr_sep,snr_sep_rms,rms_g_difference,mean_rms_g,rms_g_relative,rms_g_gap_percent,sigma_reference
0,3,0.05,0.07500000000000001,0.01,1.0,0.006133278556482873,30.666392782414363,3.066639278241437,9.812164757269638e-05,0.015998237593331195,0.006133278556482873,0.6133278556482874,3.199647518666239e-05
1,3,0.05,0.07500000000000001,1.0,1.0,0.03973868211678324,198.69341058391615,19.869341058391615,0.0006216883305286525,0.015644412381408308,0.03973868211678323,3.9738682116783237,3.128882476281662e-05
2,7,0.07500000000000001,0.125,0.01,1.0,0.010756865262599056,53.78432631299529,5.378432631299529,0.00018400274302343158,0.017105610094717606,0.010756865262599056,1.0756865262599058,3.421122018943521e-05
3,0,0.07500000000000001,0.05,1.0,0.01,0.006133278556482873,30.666392782414363,3.066639278241437,9.812164757269638e-05,0.015998237593331195,0.006133278556482873,0.6133278556482874,3.199647518666239e-05
4,9,0.1,0.15000000000000002,0.01,1.0,0.010961371565318774,54.80685782659387,5.480685782659387,0.0001962432119973266,0.017903162102289295,0.010961371565318775,1.0961371565318774,3.580632420457859e-05
5,2,0.1,0.07500000000000001,1.0,0.01,0.02680722016822005,134.03610084110022,13.403610084110024,0.0004502403139986472,0.016795486856649423,0.026807220168220052,2.6807220168220054,3.359097371329885e-05
6,13,0.125,0.2,0.01,1.0,0.006670510768529965,33.352553842649826,3.3352553842649826,0.00012681431217351942,0.019011184686456406,0.0066705107685299655,0.6670510768529965,3.802236937291281e-05
7,2,0.125,0.07500000000000001,1.0,0.01,0.010756865262599056,53.78432631299529,5.378432631299529,0.00018400274302343158,0.017105610094717606,0.010756865262599056,1.0756865262599058,3.421122018943521e-05
8,13,0.15000000000000002,0.2,0.01,1.0,0.04618118297965476,230.9059148982738,23.090591489827382,0.000900480934728995,0.01949887111219529,0.04618118297965476,4.618118297965476,3.899774222439058e-05
9,4,0.15000000000000002,0.1,1.0,0.01,0.010961371565318774,54.80685782659387,5.480685782659387,0.0001962432119973266,0.017903162102289295,0.010961371565318775,1.0961371565318774,3.580632420457859e-05
10,12,0.17500000000000004,0.2,0.01,0.01,0.04568915588692612,228.4457794346306,22.844577943463058,0.0009779842236605789,0.021405171635933584,0.04568915588692612,4.568915588692612,4.281034327186717e-05
11,4,0.17500000000000004,0.1,1.0,0.01,0.024545627061874818,122.72813530937405,12.272813530937405,0.00044705885229141384,0.018213380785280585,0.02454562706187481,2.4545627061874815,3.642676157056117e-05
12,10,0.2,0.17500000000000004,0.01,0.01,0.04568915588692612,228.4457794346306,22.844577943463058,0.0009779842236605789,0.021405171635933584,0.04568915588692612,4.568915588692612,4.281034327186717e-05
13,6,0.2,0.125,1.0,0.01,0.006670510768529965,33.352553842649826,3.3352553842649826,0.00012681431217351942,0.019011184686456406,0.0066705107685299655,0.6670510768529965,3.802236937291281e-05
