slot,master_index,q2
0,0,-100.0
1,1,-99.90590590590591
2,2,-99.81181181181181
3,3,-99.71771771771772
4,4,-99.62362362362363
5,5,-99.52952952952953
6,6,-99.43543543543544
7,7,-99.34134134134135
8,8,-99.24724724724724
9,9,-99.15315315315316
10,10,-99.05905905905905
11,11,-98.96496496496496
12,12,-98.87087087087087
13,13,-98.77677677677677
14,14,-98.68268268268268
15,15,-98.58858858858859
16,16,-98.49449449449449
17,17,-98.4004004004004
18,18,-98.30630630630631
19,19,-98.21221221221221
20,20,-98.11811811811812
21,21,-98.02402402402403
22,22,-97.92992992992993
23,23,-97.83583583583584
24,24,-97.74174174174175
25,25,-97.64764764764764
26,26,-97.55355355355356
27,27,-97.45945945945945
28,28,-97.36536536536536
29,29,-97.27127127127127
30,30,-97.17717717717717
31,31,-97.08308308308308
32,32,-96.988988988989
33,33,-96.89489489489489
34,34,-96.8008008008008
35,35,-96.70670670670671
36,36,-96.61261261261261
37,37,-96.51851851851852
38,38,-96.42442442442443
39,39,-96.33033033033033
40,40,-96.23623623623624
41,41,-96.14214214214215
42,42,-96.04804804804805
43,43,-95.95395395395396
44,44,-95.85985985985985
45,45,-95.76576576576576
46,46,-95.67167167167167
47,47,-95.57757757757757
48,48,-95.48348348348348
49,49,-95.3893893893894
50,50,-95.29529529529529
51,51,-95.2012012012012
52,52,-95.10710710710711
53,53,-95.01301301301301
54,54,-94.91891891891892
55,55,-94.82482482482483
56,56,-94.73073073073073
57,57,-94.63663663663664
58,58,-94.54254254254255
59,59,-94.44844844844845
60,60,-94.35435435435436
61,61,-94.26026026026025
62,62,-94.16616616616616
63,63,-94.07207207207207
64,64,-93.97797797797797
65,65,-93.88388388388388
66,66,-93.7897897897898
67,67,-93.69569569569569
68,68,-93.6016016016016
69,69,-93.50750750750751
70,70,-93.41341341341341
71,71,-93.31931931931932
72,72,-93.22522522522523
73,73,-93.13113113113113
74,74,-93.03703703703704
75,75,-92.94294294294295
76,76,-92.84884884884885
77,77,-92.75475475475476
78,78,-92.66066066066065
79,79,-92.56656656656656
80,80,-92.47247247247248
81,81,-92.37837837837837
82,82,-92.28428428428428
83,83,-92.1901901901902
84,84,-92.09609609609609
85,85,-92.002002002002
86,86,-91.90790790790791
87,87,-91.81381381381381
88,88,-91.71971971971972
89,89,-91.62562562562563
90,90,-91.53153153153153
91,91,-91.43743743743744
92,92,-91.34334334334335
93,93,-91.24924924924925
94,94,-91.15515515515516
95,95,-91.06106106106105
96,96,-90.96696696696696
97,97,-90.87287287287288
98,98,-90.77877877877879
99,99,-90.68468468468468
100,100,-90.5905905905906
101,101,-90.49649649649649
102,102,-90.4024024024024
103,103,-90.30830830830831
104,104,-90.21421421421421
105,105,-90.12012012012012
106,106,-90.02602602602603
107,107,-89.93193193193193
108,108,-89.83783783783784
109,109,-89.74374374374375
110,110,-89.64964964964965
111,111,-89.55555555555556
112,112,-89.46146146146145
113,113,-89.36736736736736
114,114,-89.27327327327328
115,115,-89.17917917917919
116,116,-89.08508508508508
117,117,-88.990990990991
118,118,-88.89689689689689
119,119,-88.8028028028028
120,120,-88.70870870870871
121,121,-88.61461461461461
122,122,-88.52052052052052
123,123,-88.42642642642643
124,124,-88.33233233233233
125,125,-88.23823823823824
126,126,-88.14414414414415
127,127,-88.05005005005005
128,128,-87.95595595595596
129,129,-87.86186186186185
130,130,-87.76776776776777
131,131,-87.67367367367368
132,132,-87.57957957957959
133,133,-87.48548548548548
134,134,-87.3913913913914
135,135,-87.29729729729729
136,136,-87.2032032032032
137,137,-87.10910910910911
138,138,-87.01501501501501
139,139,-86.92092092092092
140,140,-86.82682682682683
141,141,-86.73273273273273
142,142,-86.63863863863864
143,143,-86.54454454454455
144,144,-86.45045045045045
145,145,-86.35635635635636
146,146,-86.26226226226225
147,147,-86.16816816816817
148,148,-86.07407407407408
149,149,-85.97997997997999
150,150,-85.88588588588588
151,151,-85.7917917917918
152,152,-85.69769769769769
153,153,-85.6036036036036
154,154,-85.50950950950951
155,155,-85.41541541541541
156,156,-85.32132132132132
157,157,-85.22722722722723
158,158,-85.13313313313313
159,159,-85.03903903903904
160,160,-84.94494494494495
161,161,-84.85085085085085
162,162,-84.75675675675676
163,163,-84.66266266266265
164,164,-84.56856856856857
165,165,-84.47447447447448
166,166,-84.38038038038039
167,167,-84.28628628628628
168,168,-84.1921921921922
169,169,-84.09809809809809
170,170,-84.004004004004
171,171,-83.90990990990991
172,172,-83.81581581581581
173,173,-83.72172172172172
174,174,-83.62762762762763
175,175,-83.53353353353353
176,176,-83.43943943943944
177,177,-83.34534534534535
178,178,-83.25125125125125
179,179,-83.15715715715716
180,180,-83.06306306306305
181,181,-82.96896896896897
182,182,-82.87487487487488
183,183,-82.78078078078079
184,184,-82.68668668668668
185,185,-82.5925925925926
186,186,-82.49849849849849
187,187,-82.4044044044044
188,188,-82.31031031031031
189,189,-82.21621621621621
190,190,-82.12212212212212
191,191,-82.02802802802803
192,192,-81.93393393393393
193,193,-81.83983983983984
194,194,-81.74574574574575
195,195,-81.65165165165165
196,196,-81.55755755755756
197,197,-81.46346346346346
198,198,-81.36936936936937
199,199,-81.27527527527528
200,200,-81.18118118118119
201,201,-81.08708708708708
202,202,-80.992992992993
203,203,-80.89889889889889
204,204,-80.8048048048048
205,205,-80.71071071071071
206,206,-80.61661661661662
207,207,-80.52252252252252
208,208,-80.42842842842843
209,209,-80.33433433433433
210,210,-80.24024024024024
211,211,-80.14614614614615
212,212,-80.05205205205205
213,213,-79.95795795795796
214,214,-79.86386386386386
215,215,-79.76976976976977
216,216,-79.67567567567568
217,217,-79.58158158158159
218,218,-79.48748748748748
219,219,-79.3933933933934
220,220,-79.29929929929929
221,221,-79.2052052052052
222,222,-79.11111111111111
223,223,-79.01701701701703
224,224,-78.92292292292292
225,225,-78.82882882882883
226,226,-78.73473473473473
227,227,-78.64064064064064
228,228,-78.54654654654655
229,229,-78.45245245245245
230,230,-78.35835835835836
231,231,-78.26426426426426
232,232,-78.17017017017017
233,233,-78.07607607607608
234,234,-77.98198198198199
235,235,-77.88788788788789
236,236,-77.7937937937938
237,237,-77.69969969969969
238,238,-77.6056056056056
239,239,-77.51151151151151
240,240,-77.41741741741743
241,241,-77.32332332332332
242,242,-77.22922922922923
243,243,-77.13513513513513
244,244,-77.04104104104104
245,245,-76.94694694694695
246,246,-76.85285285285285
247,247,-76.75875875875876
248,248,-76.66466466466466
249,249,-76.57057057057057
250,250,-76.47647647647648
251,251,-76.38238238238239
252,252,-76.28828828828829
253,253,-76.1941941941942
254,254,-76.1001001001001
255,255,-76.006006006006
256,256,-75.91191191191191
257,257,-75.81781781781783
258,258,-75.72372372372372
259,259,-75.62962962962963
260,260,-75.53553553553553
261,261,-75.44144144144144
262,262,-75.34734734734735
263,263,-75.25325325325325
264,264,-75.15915915915916
265,265,-75.06506506506506
266,266,-74.97097097097097
267,267,-74.87687687687688
268,268,-74.78278278278279
269,269,-74.68868868868869
270,270,-74.5945945945946
271,271,-74.5005005005005
272,272,-74.4064064064064
273,273,-74.31231231231232
274,274,-74.21821821821823
275,275,-74.12412412412412
276,276,-74.03003003003003
277,277,-73.93593593593593
278,278,-73.84184184184184
279,279,-73.74774774774775
280,280,-73.65365365365365
281,281,-73.55955955955956
282,282,-73.46546546546546
283,283,-73.37137137137137
284,284,-73.27727727727728
285,285,-73.18318318318319
286,286,-73.08908908908909
287,287,-72.994994994995
288,288,-72.9009009009009
