state,nearest_state,a1,nearest_a1,gamma,nearest_gamma,rms_g_difference,l2_g_difference,relative_l2_difference,master_mean_rms_g,sigma_reference,snr_sep_rms,snr_sep
0,1,0.05,0.05,0.01,0.1,8.724262221920971e-05,0.0008724262221920971,0.005445841546444407,0.015662508711724046,3.13250174234481e-05,2.785078170584031,27.85078170584031
1,0,0.05,0.05,0.1,0.01,8.724262221920971e-05,0.0008724262221920971,0.005445841546444407,0.015662508711724046,3.13250174234481e-05,2.785078170584031,27.85078170584031
2,5,0.05,0.06875,1.0,1.0,0.0004670044790003892,0.004670044790003892,0.029960559856244854,0.015245473584578964,3.049094716915793e-05,15.31616831742018,153.1616831742018
3,11,0.06875,0.10625000000000001,0.01,1.0,7.017455045192378e-05,0.0007017455045192378,0.0041836377717335005,0.016395393197940922,3.279078639588185e-05,2.1400691524963524,21.400691524963523
4,11,0.06875,0.10625000000000001,0.1,1.0,8.612999170550088e-05,0.0008612999170550088,0.0051531661637134836,0.016337797844046154,3.2675595688092306e-05,2.635911905865836,26.359119058658358
5,1,0.06875,0.05,1.0,0.1,0.00016284089820298953,0.0016284089820298951,0.010242561908700036,0.01554616333065819,3.109232666131638e-05,5.237333956277662,52.373339562776614
6,7,0.08750000000000001,0.08750000000000001,0.01,0.1,0.00015267465878938204,0.0015267465878938203,0.008748454307719504,0.017050596996490627,3.4101193992981256e-05,4.47710595766253,44.77105957662529
7,6,0.08750000000000001,0.08750000000000001,0.1,0.01,0.00015267465878938204,0.0015267465878938203,0.008748454307719504,0.017050596996490627,3.4101193992981256e-05,4.47710595766253,44.77105957662529
8,0,0.08750000000000001,0.05,1.0,0.01,0.0002237438972452824,0.002237438972452824,0.01383298454844602,0.015814280747394587,3.162856149478918e-05,7.0741091807840935,70.74109180784093
9,20,0.10625000000000001,0.16250000000000003,0.01,1.0,0.0001404904329670099,0.001404904329670099,0.007717207296923973,0.017784336623456024,3.556867324691205e-05,3.9498361941067563,39.498361941067564
10,20,0.10625000000000001,0.16250000000000003,0.1,1.0,9.986078491322758e-05,0.0009986078491322757,0.00551330676191549,0.01769526506876519,3.539053013753038e-05,2.821680956039955,28.216809560399547
11,3,0.10625000000000001,0.06875,1.0,0.01,7.017455045192378e-05,0.0007017455045192378,0.0041836377717335005,0.016395393197940922,3.279078639588185e-05,2.1400691524963524,21.400691524963523
12,26,0.125,0.2,0.01,1.0,0.00012675615986737582,0.001267561598673758,0.006658334219877052,0.01859220315965286,3.718440631930572e-05,3.4088525921029826,34.08852592102982
13,23,0.125,0.18125000000000002,0.1,1.0,0.00018495183414404397,0.0018495183414404398,0.009892741078018366,0.01826099181413933,3.652198362827866e-05,5.064123461268882,50.64123461268883
14,7,0.125,0.08750000000000001,1.0,0.1,0.00017240283758587015,0.0017240283758587016,0.00996734349441061,0.01690330356445783,3.380660712891566e-05,5.099678797355845,50.996787973558455
15,16,0.14375000000000002,0.14375000000000002,0.01,0.1,0.00025082227914512264,0.0025082227914512267,0.01279680666232567,0.019133958800565853,3.826791760113171e-05,6.554374914241611,65.5437491424161
16,15,0.14375000000000002,0.14375000000000002,0.1,0.01,0.00025082227914512264,0.0025082227914512267,0.01279680666232567,0.019133958800565853,3.826791760113171e-05,6.554374914241611,65.5437491424161
17,6,0.14375000000000002,0.08750000000000001,1.0,0.01,0.0001661861113667087,0.0016618611136670872,0.009439378837539468,0.017202960592044493,3.4405921184088983e-05,4.830160206364754,48.30160206364754
18,19,0.16250000000000003,0.16250000000000003,0.01,0.1,0.0002835386912202582,0.002835386912202582,0.013955783045944236,0.01982867158634554,3.965734317269108e-05,7.149714744771636,71.49714744771637
19,18,0.16250000000000003,0.16250000000000003,0.1,0.01,0.0002835386912202582,0.002835386912202582,0.013955783045944236,0.01982867158634554,3.965734317269108e-05,7.149714744771636,71.49714744771637
20,10,0.16250000000000003,0.10625000000000001,1.0,0.1,9.986078491322758e-05,0.0009986078491322757,0.00551330676191549,0.01769526506876519,3.539053013753038e-05,2.821680956039955,28.216809560399547
21,22,0.18125000000000002,0.18125000000000002,0.01,0.1,0.0003162547351558696,0.003162547351558696,0.015035688031618638,0.020523491978678664,4.104698395735733e-05,7.704700922348366,77.04700922348366
22,21,0.18125000000000002,0.18125000000000002,0.1,0.01,0.0003162547351558696,0.003162547351558696,0.015035688031618638,0.020523491978678664,4.104698395735733e-05,7.704700922348366,77.04700922348366
23,13,0.18125000000000002,0.125,1.0,0.1,0.00018495183414404397,0.0018495183414404398,0.009892741078018366,0.01826099181413933,3.652198362827866e-05,5.064123461268882,50.64123461268883
24,25,0.2,0.2,0.01,0.1,0.00034897018204228006,0.0034897018204228004,0.01604431788180872,0.021218409232331696,4.243681846466339e-05,8.223288047214547,82.23288047214547
25,24,0.2,0.2,0.1,0.01,0.00034897018204228006,0.0034897018204228004,0.01604431788180872,0.021218409232331696,4.243681846466339e-05,8.223288047214547,82.23288047214547
26,12,0.2,0.125,1.0,0.01,0.00012675615986737582,0.001267561598673758,0.006658334219877052,0.01859220315965286,3.718440631930572e-05,3.4088525921029826,34.08852592102982
