state,nearest_state,a1,nearest_a1,gamma,nearest_gamma,rms_g_difference,l2_g_difference,relative_l2_difference,master_mean_rms_g,sigma_reference,snr_sep_rms,snr_sep
0,1,0.05,0.05,0.01,0.0316227766,2.0412894574762537e-05,0.00045644619886705694,0.0012971844101919308,0.0156942785231883,3.13885570463766e-05,0.6503291802997659,14.541802549019936
1,0,0.05,0.05,0.0316227766,0.01,2.0412894574762537e-05,0.00045644619886705694,0.0012971844101919308,0.0156942785231883,3.13885570463766e-05,0.6503291802997659,14.541802549019936
2,1,0.05,0.05,0.1,0.0316227766,6.421172999374145e-05,0.0014358179321886802,0.004091411094286946,0.01565240787686888,3.130481575373776e-05,2.0511773811054823,45.86572058061851
3,9,0.05,0.06875,0.316227766,1.0,4.507910068418216e-05,0.0010079993349438859,0.0029098082125507997,0.01545117395042946,3.090234790085892e-05,1.4587597301281177,32.61885919405719
4,3,0.05,0.05,1.0,0.316227766,0.00041612505479541434,0.009304839096633714,0.027259821398406974,0.015224958939096672,3.0449917878193346e-05,13.665884304187946,305.5784627681166
5,6,0.06875,0.06875,0.01,0.0316227766,2.8067743198273286e-05,0.0006276138176634642,0.0017067938297874972,0.016400158012030243,3.280031602406049e-05,0.8557156332787876,19.134383254206504
6,5,0.06875,0.06875,0.0316227766,0.01,2.8067743198273286e-05,0.0006276138176634642,0.0017067938297874972,0.016400158012030243,3.280031602406049e-05,0.8557156332787876,19.134383254206504
7,19,0.06875,0.10625000000000001,0.1,1.0,8.647139746153716e-05,0.0019335592283339985,0.0052784856837081034,0.016337797844046154,3.2675595688092306e-05,2.646360246557011,59.174414042545806
8,14,0.06875,0.08750000000000001,0.316227766,1.0,0.0001200581429035096,0.0026845816878463143,0.007492562416778454,0.01598086185895447,3.196172371790894e-05,3.7563100151647353,83.99364538471613
9,3,0.06875,0.05,1.0,0.316227766,4.507910068418216e-05,0.0010079993349438859,0.0029098082125507997,0.01545117395042946,3.090234790085892e-05,1.4587597301281177,32.61885919405719
10,11,0.08750000000000001,0.08750000000000001,0.01,0.0316227766,3.572257126601451e-05,0.0007987809768188916,0.002082544494712135,0.01710623644468697,3.4212472889373944e-05,1.0441388256710782,23.34765392147333
