kind,gamma
train,0.01
train,0.0133352143
train,0.0177827941
train,0.0237137371
train,0.0316227766
train,0.0421696503
train,0.0562341325
train,0.0749894209
train,0.1
train,0.133352143
train,0.177827941
train,0.237137371
train,0.316227766
train,0.421696503
train,0.562341325
train,0.749894209
train,1.0
interp,0.011547819837527775
interp,0.015399265247935553
interp,0.020535250283130982
interp,0.02738419636696377
interp,0.03651741270595472
interp,0.04869675248359858
interp,0.06493816313223581
interp,0.08659643231681084
interp,0.11547819837527776
interp,0.15399265247935554
interp,0.20535250283130982
interp,0.27384196366963776
interp,0.36517412705954716
interp,0.4869675248359858
interp,0.649381631322358
interp,0.8659643231681083
