state,nearest_state,a1,nearest_a1,gamma,nearest_gamma,rms_g_difference,l2_g_difference,relative_l2_difference,master_mean_rms_g,sigma_reference,snr_sep_rms,snr_sep
0,1,0.05,0.05,0.01,0.0133352143,3.149559208076642e-06,7.042628488419775e-05,0.000200036984073938,0.015702820855119662,3.1405641710239324e-05,0.10028641468738965,2.2424724046073656
1,0,0.05,0.05,0.0133352143,0.01,3.149559208076642e-06,7.042628488419775e-05,0.000200036984073938,0.015702820855119662,3.1405641710239324e-05,0.10028641468738965,2.2424724046073656
2,1,0.05,0.05,0.0177827941,0.0133352143,4.199649255733887e-06,9.39070121747737e-05,0.00026679289193200196,0.015699184217249265,3.1398368434498534e-05,0.13375374151988034,2.990824582833885
3,2,0.05,0.05,0.0237137371,0.0177827941,5.599427636882093e-06,0.0001252070083115937,0.0003558272389191684,0.0156943353523986,3.13886707047972e-05,0.17839008505786516,3.9889235670135603
4,3,0.05,0.05,0.0316227766,0.0237137371,7.464258702370579e-06,0.00016690589860144986,0.0004745274814074053,0.015687871155413827,3.137574231082765e-05,0.23789903130976095,5.319584057899763
5,4,0.05,0.05,0.0421696503,0.0316227766,9.947006016276785e-06,0.00022242181624994268,0.0006327117833207215,0.01567925585707456,3.135851171414912e-05,0.3172027456835155,7.092869019979185
6,5,0.05,0.05,0.0562341325,0.0421696503,1.3247299548792137e-05,0.00029621862309401513,0.0008432556990590059,0.01566777947149805,3.13355589429961e-05,0.42275612740436147,9.45311438780714
7,6,0.05,0.05,0.0749894209,0.0562341325,1.7622388137145286e-05,0.00039404857800542746,0.0011228475194600585,0.015652505924345556,3.130501184869111e-05,0.5629254581445589,12.587395906764463
8,7,0.05,0.05,0.1,0.0749894209,2.339503863881128e-05,0.0005231289673261616,0.0014926016194190832,0.015632212498457816,3.1264424996915635e-05,0.748295823163845,16.73240327873519
9,8,0.05,0.05,0.133352143,0.1,3.094646968861956e-05,0.0006919840988739008,0.001977787871085859,0.015605328674449422,3.1210657348898846e-05,0.9915353381594634,22.171404182178012
10,9,0.05,0.05,0.177827941,0.133352143,4.0677108837720205e-05,0.0009095678048929983,0.002605595870990001,0.01556989795320867,3.113979590641734e-05,1.3062740989043349,29.20917682397376
11,33,0.05,0.06875,0.237137371,1.0,3.7528261604822695e-05,0.000839157440257789,0.002417177838222324,0.015484573409413387,3.096914681882677e-05,1.2117951399942508,27.09656307831019
12,33,0.05,0.06875,0.316227766,1.0,4.507910068418216e-05,0.0010079993349438859,0.0029098082125507997,0.01545117395042946,3.090234790085892e-05,1.4587597301281177,32.61885919405719
13,12,0.05,0.05,0.421696503,0.316227766,8.382009675350524e-05,0.0018742743422144714,0.005432264523192769,0.01538921389890456,3.077842779780912e-05,2.723339129085461,60.89571418420165
14,13,0.05,0.05,0.562341325,0.421696503,9.980573901396119e-05,0.0022317241697982003,0.006506706779492134,0.015298427716996708,3.059685543399342e-05,3.2619606687776153,72.93965795317423
15,14,0.05,0.05,0.749894209,0.562341325,0.00011263777077966594,0.002518657122973725,0.007394097479293094,0.015193412073487863,3.0386824146975728e-05,3.7067964139607623,82.88648760368714
16,15,0.05,0.05,1.0,0.749894209,0.00011986149385400005,0.0026801844814221738,0.007928342511459002,0.015078497889545222,3.0156995779090445e-05,3.9745833680524245,88.87438593205287
17,18,0.06875,0.06875,0.01,0.0133352143,4.330538072809956e-06,9.683377509953996e-05,0.00026315038422329784,0.016411908523217486,3.282381704643497e-05,0.13193279948775186,2.9501070811646257
18,17,0.06875,0.06875,0.0133352143,0.01,4.330538072809956e-06,9.683377509953996e-05,0.00026315038422329784,0.016411908523217486,3.282381704643497e-05,0.13193279948775186,2.9501070811646257
19,18,0.06875,0.06875,0.0177827941,0.0133352143,5.774555129019095e-06,0.00012912297808306765,0.00035100494077588306,0.016406906088091665,3.281381217618333e-05,0.1759794045877528,3.935019112981536
20,19,0.06875,0.06875,0.0237137371,0.0177827941,7.69915669304394e-06,0.00017215837735068732,0.0004681819372710048,0.016400236188317728,3.280047237663546e-05,0.23472700650885225,5.248655427088292
21,20,0.06875,0.06875,0.0316227766,0.0237137371,1.0263493532133792e-05,0.00022949869224480582,0.000624456970100427,0.016391344312537963,3.2782688625075926e-05,0.31307662557863253,7.000606169600719
22,21,0.06875,0.06875,0.0421696503,0.0316227766,1.3677152948277529e-05,0.0003058304373101022,0.0008327554555838596,0.016379493461381747,3.27589869227635e-05,0.41750842236130253,9.335772135785657
23,22,0.06875,0.06875,0.0562341325,0.0421696503,1.8214990001913363e-05,0.00040729955853757304,0.0011101201598784757,0.01636370704395024,3.2727414087900484e-05,0.5565667349394265,12.44521053339665
