state_1,state_2,a1_1,a1_2,gamma_1,gamma_2,reference_noise_level,rms_g_difference,l2_g_difference,relative_l2_difference,master_mean_rms_g,sigma_reference,snr_sep_rms,snr_sep
0,1,0.05,0.05,0.01,0.0133352143,0.002,3.149559208076642e-06,7.042628488419775e-05,0.000200036984073938,0.015702820855119662,3.1405641710239324e-05,0.10028641468738965,2.2424724046073656
0,2,0.05,0.05,0.01,0.0177827941,0.002,7.349208386136506e-06,0.0001643332953221275,0.0004668298647188965,0.01570074272017307,3.1401485440346144e-05,0.23404015074694168,5.233296865344598
0,3,0.05,0.05,0.01,0.0237137371,0.002,1.2948635956205693e-05,0.0002895403021397392,0.0008226570641368732,0.015697971990268997,3.1395943980538e-05,0.41243021596141244,9.22221998864637
0,4,0.05,0.05,0.01,0.0316227766,0.002,2.0412894574762537e-05,0.00045644619886705694,0.0012971844101919308,0.0156942785231883,3.13885570463766e-05,0.6503291802997659,14.541802549019936
0,5,0.05,0.05,0.01,0.0421696503,0.002,3.0359900335934928e-05,0.000678868009412692,0.001929895769600872,0.01568935669192973,3.137871338385946e-05,0.9675317137620885,21.634666823588987
0,6,0.05,0.05,0.01,0.0562341325,0.002,4.360719927907154e-05,0.0009750866189638378,0.0027731502701357647,0.015682802137611786,3.136560427522357e-05,1.3902872361849536,31.08776768359861
0,7,0.05,0.05,0.01,0.0749894209,0.002,6.12295859231947e-05,0.0013691351635842755,0.003895994579431341,0.015674083144777237,3.134816628955447e-05,1.9532110860212266,43.675127627496515
0,8,0.05,0.05,0.01,0.1,0.002,8.46246209854976e-05,0.0018922640509372785,0.0053885879305052295,0.015662508711724046,3.13250174234481e-05,2.701502758691285,60.407438098369234
0,9,0.05,0.05,0.01,0.133352143,0.002,0.00011557108256300923,0.0025842479684412925,0.007366355162451372,0.015647199320768843,3.129439864153768e-05,3.693027748729749,82.57861088952731
0,10,0.05,0.05,0.01,0.177827941,0.002,0.00015624817357594761,0.0034938153747600524,0.009971900889518005,0.015627077990483296,3.125415598096659e-05,4.999276693669184,111.78722525374688
0,11,0.05,0.05,0.01,0.237137371,0.002,0.00020913724149129774,0.004676450886013313,0.013369737951849946,0.015600918790479245,3.120183758095849e-05,6.702721945419256,149.87741904237092
0,12,0.05,0.05,0.01,0.316227766,0.002,0.0002766739753204053,0.006186618164215254,0.01772522549569762,0.015567519331495316,3.1135038662990635e-05,8.886257644166026,198.70276157932372
0,13,0.05,0.05,0.01,0.421696503,0.002,0.00036049394831618185,0.008060889739122785,0.02315691379208676,0.015526073925452712,3.105214785090543e-05,11.609307995281572,259.59201849181403
0,14,0.05,0.05,0.01,0.562341325,0.002,0.0004602994969536685,0.010292609651973601,0.029662471556582186,0.015476733149587463,3.0953466299174925e-05,14.870693075364484,332.5188058905039
0,15,0.05,0.05,0.01,0.749894209,0.002,0.0005729370394895233,0.012811261671260555,0.03705449333269409,0.015421058281943865,3.0842116563887734e-05,18.57645010525513,415.38205215983595
0,16,0.05,0.05,0.01,1.0,0.002,0.0006927983874563547,0.015491442890546466,0.04497949262521484,0.015361818965644822,3.0723637931289645e-05,22.54936049584132,504.21902917849553
0,17,0.05,0.06875,0.01,0.01,0.002,0.0007146765270078125,0.01598065296312933,0.04438279535525497,0.016059215840489652,3.2118431680979306e-05,22.251289667765676,497.55396284162754
0,18,0.05,0.06875,0.01,0.0133352143,0.002,0.00071034781556807,0.015883860032786877,0.04411987073946962,0.016057072040771305,3.211414408154261e-05,22.1194690340926,494.6063638643266
0,19,0.05,0.06875,0.01,0.0177827941,0.002,0.0007045757412564112,0.015754792527466383,0.04376916730805387,0.016054213405363827,3.2108426810727655e-05,21.943639450469973,490.67469484996985
0,20,0.05,0.06875,0.01,0.0237137371,0.002,0.0006968799750416939,0.015582709963515847,0.043301388380341393,0.016050402140997372,3.2100804281994744e-05,21.709112610383162,485.43051528014666
