state_index,a1,gamma,nearest_state,nearest_a1,nearest_gamma,snr_sep_rms,rms_g_difference,split,candidate_index
0,0.05,0.01,57,0.05325778919411804,0.04905083862794286,2.6975298924673003,8.495386806604487e-05,train,0
1,0.05,1.0,51,0.05212750443075262,0.9261603754980834,2.8309820485351955,8.527803960073387e-05,train,1
2,0.2,0.01,71,0.19793196193842671,0.013867707121111452,2.1855458512445023,9.327869638409915e-05,train,2
3,0.2,1.0,58,0.12897726817026176,0.016795210516399636,2.6964088496666045,0.00010062639198873917,train,3
4,0.08940942100276,0.06399092250153003,53,0.08590749133543538,0.0431700052759949,2.821592609769112,9.626269585642083e-05,test,4078
5,0.16603270740862186,0.05445825471644811,74,0.1656596464675465,0.02211873615304392,2.177797469948426,8.712922265705344e-05,val,5800
6,0.1079127071719528,0.030907429175694726,42,0.16987109542985457,0.9857912693415857,2.897983848299811,0.00010371220754233821,val,2828
7,0.06815221522300274,0.011525895953342656,49,0.10479264248301567,0.8569580971199765,2.838272326641546,9.328087740076871e-05,train,4839
8,0.14526247815059398,0.020508803358102866,67,0.14692737589464652,0.010983035587402325,2.3166839484809794,8.955252740669235e-05,train,744
9,0.18207180334019896,0.02329899468142813,72,0.19807870933877036,0.163378173484396,2.1848701794117122,9.048107947826181e-05,train,4346
10,0.0633501896860442,0.9623849036245169,56,0.054970881570592114,0.7359821991547137,2.7447994561547104,8.409892115244419e-05,val,3306
11,0.14409994968715176,0.851879989104603,47,0.09996935370863894,0.029331284976047353,2.882520929821151,0.0001010101013892386,test,1740
12,0.11868467587314302,0.9304749254198745,54,0.07637145637450306,0.03586793494385622,2.7819618785842373,9.295587940835153e-05,train,4023
13,0.11977096980039095,0.05554757870558904,83,0.18091923933588355,0.9502730451399958,2.0809787771105825,7.595687709283472e-05,train,1948
14,0.08717912993323534,0.8363945054469589,55,0.06159466753610837,0.02714097621617481,2.752715498628744,8.855229692261855e-05,train,2950
15,0.14007548782881976,0.07338422004144853,77,0.19771902571837308,0.7703284817393601,2.3582382968448634,8.952082041254974e-05,train,1327
16,0.17968780832616904,0.1019026152731475,73,0.1746732546107934,0.018932285245407986,2.214841996102447,9.015648665603575e-05,train,4857
17,0.16229741039532386,0.12155895604632504,66,0.15134695171259638,0.014559433384117467,2.333159655215045,9.134314740025912e-05,train,2549
18,0.19077829290152554,0.014380574148729633,80,0.19382957048723548,0.021708162549252674,2.118265388393367,8.924453576068763e-05,train,3800
19,0.0687100070605372,0.8938157508794065,52,0.06788818098017216,0.7354747583351078,2.846355773234007,8.868464307386611e-05,train,5051
20,0.15508645206564814,0.6761476984750956,75,0.1136018327071109,0.012111058384762426,2.232829865461765,8.073812949699261e-05,train,331
21,0.12321098213162529,0.02231554958187246,65,0.18923526689726244,0.9680403589030794,2.327738805609113,8.584602110192602e-05,val,5465
22,0.09235457793417426,0.01732376903535717,46,0.09608648085263344,0.040560007272440565,2.8717294145223935,9.961818110016903e-05,train,4293
23,0.10179041877088224,0.012762115373589667,82,0.1580420583763331,0.951045605336538,2.092729704587291,7.39843399138774e-05,train,2291
24,0.12249007580062865,0.8525129118025891,53,0.08590749133543538,0.0431700052759949,2.8557227831426975,9.692728477561051e-05,val,587
25,0.07846148764935199,0.15635893622718539,84,0.11397832078930402,0.9381479165350242,2.005409069159906,6.656599980232266e-05,test,3686
26,0.050418385504065785,0.6669609130005246,56,0.054970881570592114,0.7359821991547137,2.7023301786526863,8.23494802303758e-05,test,5489
27,0.06851261250143342,0.16070316666936804,55,0.06159466753610837,0.02714097621617481,2.8166848599372756,9.10851727468179e-05,train,1791
28,0.07911951059812522,0.7933110703798955,57,0.05325778919411804,0.04905083862794286,2.7601280159554085,8.739176338613271e-05,train,5283
29,0.19179515883699716,0.6461131196033661,61,0.14254152821062321,0.017389424552026137,2.463970296751375,9.44013170059219e-05,train,4363
30,0.13268916617292625,0.032606314666814025,63,0.19447015485925023,0.865285700538599,2.402691122756385,9.014900126200204e-05,train,5313
31,0.18594622651330217,0.4470963248797578,66,0.15134695171259638,0.014559433384117467,2.3171279674034033,9.033079226813769e-05,val,2455
32,0.1993501576664894,0.4708600146560491,69,0.15971885253061524,0.05921071419343687,2.2607975047335556,8.93136065023142e-05,test,5072
33,0.17876019545904975,0.14476574995669975,79,0.17226786005912484,0.046242858973346096,2.1290144258123602,8.591129274844712e-05,train,1569
34,0.19518327699775234,0.21057426165881382,73,0.1746732546107934,0.018932285245407986,2.1844285573728746,8.93040690758292e-05,train,4482
35,0.19057079754090794,0.06255165032726492,76,0.18857775531258913,0.01622171963764681,2.1733628619046823,9.07876925968268e-05,train,4569
36,0.19535713903355206,0.01307057589548037,80,0.19382957048723548,0.021708162549252674,2.1211550383678364,8.974378882546264e-05,train,991
37,0.18634664455885025,0.9776175130353164,64,0.1202948481781734,0.011970872194105538,2.3325313305170337,8.562076937475261e-05,train,5380
38,0.1628626409854423,0.982906649091139,82,0.1580420583763331,0.951045605336538,2.084936192916979,7.393203854294447e-05,val,1884
39,0.13609858000080177,0.9058079119590267,22,0.09235457793417426,0.01732376903535717,3.123201586583234,0.00010776439750892211,train,5247
40,0.07994874192266524,0.014029992349982699,12,0.11868467587314302,0.9304749254198745,3.0539256246733104,0.00010255121060561146,train,435
