safety_rank,candidate_index,a1,gamma,remote_alias_rms_snr,alias_a1,alias_gamma,alias_gamma_factor
1,9891,0.05031821641715541,0.9688354022599172,8.737867933580784,0.05,0.48417236758409943,2.001013414074344
2,19898,0.05015556074999563,0.9041698059234505,8.669208234042676,0.05,0.4518559443749224,2.0010134140743445
3,15332,0.05019471114528602,0.9120108393559097,8.663139495377429,0.05,0.4557744755438333,2.001013414074344
4,2132,0.051084657404418914,0.9660508789898136,8.105403265523176,0.05,0.4827808110605307,2.0010134140743445
5,19097,0.050899423689732944,0.8989799381034805,8.031436354022631,0.05,0.4492623246702935,2.0010134140743445
6,16223,0.05059172921712896,0.8058421877614819,7.908329643029101,0.05,0.4027170343254591,2.0010134140743445
7,17870,0.051066843225967155,0.8861352236594998,7.843443061196145,0.05,0.4428432200537847,2.001013414074344
8,8917,0.050497784185911464,0.7563973523567668,7.748476590352782,0.05,0.37800713730181124,2.0010134140743445
9,10374,0.050783951701983784,0.8058421877614819,7.742874117152051,0.05,0.4027170343254591,2.0010134140743445
10,2410,0.05000122042475424,0.6625978159041461,7.653871936886816,0.05,0.3311311214825911,2.0010134140743445
11,12615,0.05085555934056096,0.7852356346100718,7.582295747214923,0.05,0.3924189758484536,2.0010134140743445
12,3644,0.05090017199134861,0.780728440137907,7.521218834355147,0.05,0.390166519947627,2.0010134140743445
13,1075,0.05207616008318708,0.9857119009006164,7.363333049421714,0.05,0.4926063433495773,2.0010134140743445
14,13438,0.05082249102521087,0.732824533138904,7.335590375136916,0.05,0.3662266969249198,2.0010134140743445
15,13503,0.05124636893454113,0.8035261221856173,7.3339661296867495,0.05,0.40155958802371305,2.0010134140743445
16,1985,0.05149663284306117,0.8104943654808874,7.152546083895069,0.05,0.4050419451364931,2.0010134140743445
17,83,0.051658987268960024,0.8293732044796284,7.103077428528577,0.05,0.4144765840379391,2.0010134140743445
18,3038,0.05121231499050533,0.7455898720277816,7.063180241827994,0.05,0.3726061338637685,2.0010134140743445
19,103,0.05244936941561621,0.9772372209558107,7.033979464120932,0.05,0.4883711493797627,2.0010134140743445
20,12456,0.050108760118576984,0.5821032177708716,6.99421869181318,0.05,0.2909042056772761,2.0010134140743445
21,2731,0.050927349151952114,0.6898425842094826,6.98779634649408,0.05,0.34474660657314943,2.0010134140743445
22,125,0.05107301329017282,0.7059110821984096,6.956202668151598,0.05,0.352776786618874,2.0010134140743445
