state_index,a1,gamma,nearest_state,nearest_a1,nearest_gamma,snr_sep_rms,rms_g_difference,split,pool_candidate_index,remote_alias_rms_snr,remote_alias_a1,remote_alias_gamma
0,0.050318215042352676,0.9688354134559631,44,0.05059172958135605,0.8058421611785889,2.8045126133321734,8.459556223339588e-05,train,9891,8.737868309020996,0.05000000074505806,0.48417237401008606
1,0.19995014369487762,0.01053173653781414,69,0.1989269107580185,0.01824945956468582,1.592111586079732,6.797878396037751e-05,train,15320,0.8874795436859131,0.20000000298023224,0.021074146032333374
2,0.155655175447464,0.7520557045936584,79,0.1316974014043808,0.40738028287887573,1.540995632912442,5.5199906117826826e-05,train,8336,0.86440110206604,0.1311466097831726,0.37583741545677185
3,0.19770124554634094,0.5278372168540955,106,0.17967048287391663,0.31531891226768494,1.3945644385858775,5.4693196588580755e-05,train,18722,0.7662436962127686,0.17352759838104248,0.2637849450111389
4,0.09191366285085678,0.5888436436653137,90,0.10767766088247299,0.9386420249938965,1.467659257508214,4.827135165566543e-05,train,10944,0.46511974930763245,0.07968993484973907,0.2942727208137512
5,0.15417662262916565,0.3417826294898987,100,0.15468370914459229,0.3715352416038513,1.5402393893175863,5.764035902967712e-05,train,6985,0.4179877042770386,0.1412082314491272,0.17080476880073547
6,0.12667538225650787,0.7563973665237427,86,0.10996264219284058,0.46908333897590637,1.4873803354457535,5.097897205835544e-05,train,16135,0.738020658493042,0.10665726661682129,0.3780071437358856
7,0.07105334848165512,0.720277726650238,95,0.0688503161072731,0.701859176158905,1.4375792990002905,4.512909115131981e-05,train,18224,0.4370933175086975,0.060171809047460556,0.3599564731121063
8,0.19998428225517273,0.2786121070384979,57,0.1994689404964447,0.3081413507461548,2.862669842799295,0.00011654587737342103,train,2072,0.40586650371551514,0.18609589338302612,0.1392355114221573
9,0.12224127352237701,0.43526124954223633,120,0.15289518237113953,0.9440608620643616,1.3945640213561579,4.897450133372519e-05,train,9445,0.44577479362487793,0.1094919890165329,0.21752040088176727
10,0.1939813643693924,0.6569011211395264,82,0.16879451274871826,0.34276777505874634,1.536895491792875,5.896161864277637e-05,train,2969,0.9159496426582336,0.1660650372505188,0.32828420400619507
11,0.14269618690013885,0.3599564731121063,118,0.1415877789258957,0.3662267029285431,1.352139480693546,4.950672702052715e-05,train,2418,0.41599178314208984,0.13011209666728973,0.1798870861530304
12,0.050814248621463776,0.4180709719657898,102,0.05053821578621864,0.4650503695011139,1.4298931263212415,4.390860660486914e-05,train,15329,0.4234143793582916,0.06106632947921753,0.8365656137466431
13,0.12122411280870438,0.9522478580474854,111,0.11292443424463272,0.8035261034965515,1.3630037179835004,4.570144260071921e-05,train,1502,0.8280970454216003,0.09937331080436707,0.47588279843330383
14,0.07910797744989395,0.5821031928062439,110,0.0822407677769661,0.7161434292793274,1.3643269117155172,4.377823436595296e-05,train,1112,0.4054255187511444,0.06867751479148865,0.2909041941165924
15,0.19866818189620972,0.39468443393707275,122,0.18778149783611298,0.2993987500667572,1.3226585179204522,5.283060172996427e-05,train,7102,0.5799729228019714,0.17964062094688416,0.19724227488040924
16,0.1958242505788803,0.9971259236335754,74,0.15867775678634644,0.47043541073799133,1.5789966313752142,5.8607525092669354e-05,train,12831,1.029470682144165,0.16582424938678741,0.5804302096366882
17,0.05658945441246033,0.9386420249938965,105,0.05212659761309624,0.6569011211395264,1.390010124206772,4.233538943120352e-05,train,1207,3.5242905616760254,0.05000000074505806,0.46908333897590637
18,0.17337214946746826,0.906775951385498,81,0.146335169672966,0.5248074531555176,1.5333157189982798,5.555158773892337e-05,train,11846,1.0516307353973389,0.14337214827537537,0.4610520899295807
19,0.1591450273990631,0.3226636052131653,114,0.16280494630336761,0.34574028849601746,1.5146457962420599,5.7486705060220654e-05,train,14774,0.4031633734703064,0.1464524269104004,0.16125009953975677
20,0.15221089124679565,0.8198794722557068,78,0.12743312120437622,0.3935500681400299,1.6209483170927101,5.75723824359683e-05,train,14907,0.9037281274795532,0.1269473135471344,0.4097321033477783
21,0.10831290483474731,0.5293586254119873,85,0.10579947382211685,0.44539979100227356,1.5589700527647652,5.299976249196225e-05,train,1803,0.48562267422676086,0.09503895789384842,0.2645452618598938
22,0.1960342675447464,0.5922430753707886,99,0.17614582180976868,0.3507518768310547,1.4198768549052896,5.5075347414918364e-05,train,11742,0.8448745608329773,0.16985143721103668,0.2959715723991394
23,0.14337444305419922,0.9332543015480042,97,0.1467571258544922,0.9577452540397644,1.5003027174312895,5.21548783812256e-05,train,8899,0.9373888969421387,0.11779969185590744,0.46639081835746765
24,0.09905072301626205,0.6060382127761841,109,0.09666042774915695,0.5888436436653137,1.4055054383037933,4.6606618755650064e-05,train,14092,0.5072568655014038,0.08559447526931763,0.3028656244277954
25,0.0891389399766922,0.6819460391998291,98,0.10096519440412521,0.9549925923347473,1.4268331664280942,4.641559410329494e-05,train,15057,0.5103749632835388,0.07597614079713821,0.34080031514167786
26,0.06832103431224823,0.8634754419326782,119,0.06779641658067703,0.7829787731170654,1.3371097433889092,4.162460554624194e-05,train,11586,0.47750088572502136,0.056637875735759735,0.431519091129303
27,0.07754096388816833,0.718207597732544,117,0.08801762759685516,1.0,1.3512955615052937,4.301332437184692e-05,train,10545,0.4707769453525543,0.06568820029497147,0.35892194509506226
28,0.18446023762226105,0.3144126534461975,121,0.19885362684726715,0.4827808141708374,1.328032745000151,5.2503587534546156e-05,train,1177,0.4360278248786926,0.17009972035884857,0.15712670981884003
29,0.19688904285430908,0.3108135759830475,57,0.1994689404964447,0.3081413507461548,2.3006509871551843,9.318571958411218e-05,train,2778,0.45065242052078247,0.1817251741886139,0.15532809495925903
30,0.19738034904003143,0.8462525606155396,65,0.15896499156951904,0.3447466194629669,1.684074716152843,6.355065806548249e-05,train,8326,1.0116716623306274,0.16738034784793854,0.4650503695011139
31,0.14671294391155243,0.3662267029285431,83,0.14413461089134216,0.3548133969306946,1.5097050694261878,5.560679712748118e-05,train,5257,0.4322556257247925,0.13357077538967133,0.18302060663700104
32,0.15134891867637634,0.3497437834739685,100,0.15468370914459229,0.3715352416038513,1.418943524987493,5.294533369671155e-05,train,1418,0.4221479296684265,0.13834698498249054,0.17478331923484802
33,0.14464975893497467,0.5278372168540955,81,0.146335169672966,0.5248074531555176,1.5388060722937007,5.559263907655589e-05,train,18742,0.608805239200592,0.12696290016174316,0.2637849450111389
34,0.11225532740354538,0.42413097620010376,88,0.13002341985702515,0.7829787731170654,1.4732354065031525,5.078146954724896e-05,train,19951,0.4063001871109009,0.10080563277006149,0.21195809543132782
35,0.14170655608177185,0.3924189805984497,96,0.17693763971328735,0.9199198484420776,1.437102544784216,5.236001272543928e-05,train,6961,0.4513647258281708,0.12820352613925934,0.19611011445522308
36,0.10147993266582489,0.4570882022380829,91,0.10219718515872955,0.5055335760116577,1.4607324479867039,4.923107533331817e-05,train,444,0.40223637223243713,0.09044703096151352,0.22842834889888763
37,0.19643647968769073,0.7349368333816528,114,0.16280494630336761,0.34574028849601746,1.5713406588672278,5.980190219433352e-05,train,3282,0.9947295784950256,0.16643647849559784,0.37368011474609375
38,0.14174428582191467,0.5905409455299377,112,0.164870485663414,0.9942600727081299,1.359487864879647,4.8444251373884e-05,train,10929,0.6620144248008728,0.12285304069519043,0.2951209247112274
39,0.13182660937309265,0.9359443187713623,85,0.10579947382211685,0.44539979100227356,1.4961261022654522,5.100469658840868e-05,train,536,0.877800703048706,0.10827629268169403,0.4677351415157318
40,0.17892634868621826,0.4390358626842499,89,0.19964517652988434,0.6569011211395264,1.4702309298218597,5.67186572088398e-05,train,11614,0.5989398956298828,0.1601267009973526,0.21940675377845764
41,0.1749122440814972,0.31713926792144775,99,0.17614582180976868,0.3507518768310547,1.4596968625684543,5.676855944436214e-05,train,13931,0.4238293468952179,0.16118477284908295,0.15848931670188904
42,0.15485568344593048,0.9332543015480042,75,0.12192702293395996,0.4004054665565491,1.6046373276636565,5.654056957590861e-05,train,13855,0.9961670637130737,0.12723293900489807,0.46639081835746765
43,0.06087116152048111,0.9772372245788574,102,0.05053821578621864,0.4650503695011139,1.4066545741710894,4.307925524559827e-05,train,3891,0.5213111639022827,0.05000000074505806,0.4883711636066437
44,0.05059172958135605,0.8058421611785889,113,0.055647943168878555,0.9800539612770081,1.3575281955825083,4.111783924006646e-05,train,16223,7.908329486846924,0.05000000074505806,0.4027170240879059
45,0.12504459917545319,0.5385797023773193,97,0.1467571258544922,0.9577452540397644,1.4317920237382087,4.9901645955602425e-05,train,1628,0.5534780025482178,0.10951083153486252,0.2691534757614136
46,0.09585599601268768,0.9660508632659912,107,0.09024094045162201,0.8535913228988647,1.3845655532297332,4.466938232161217e-05,train,4733,0.6855514049530029,0.0784505233168602,0.4827808141708374
47,0.10633868724107742,0.6958249807357788,108,0.10846749693155289,0.7829787731170654,1.3801992734094146,4.602165953582339e-05,train,11513,0.6010579466819763,0.09042119234800339,0.34773626923561096
48,0.07452180236577988,0.7286181449890137,116,0.07976427674293518,0.9605058431625366,1.3445033929607786,4.244480157743849e-05,train,5923,0.45958638191223145,0.06302331387996674,0.364124596118927
49,0.08647392690181732,0.5308844447135925,84,0.10635624825954437,1.0,1.5318388092792996,5.011038584721369e-05,train,17052,0.4038599133491516,0.07585231214761734,0.26530778408050537
50,0.10934481024742126,0.9305720329284668,109,0.09666042774915695,0.5888436436653137,1.3706363868184832,4.533215488584192e-05,train,13686,0.7500301003456116,0.08986958861351013,0.4650503695011139
51,0.0694190114736557,0.7829787731170654,119,0.06779641658067703,0.7829787731170654,1.3678265135162613,4.269504050584822e-05,train,16032,0.45432066917419434,0.058211274445056915,0.39129114151000977
52,0.054221902042627335,0.44539979100227356,101,0.0684080496430397,0.9359443187713623,1.4440596116246418,4.470732399806528e-05,train,1324,0.46978628635406494,0.0656416192650795,0.8912509083747864
