state_id,a1,a2,a3,m,gamma,recovery_alias_margin_grid_verified,recovery_alias_trigger_grid,recovery_alias_a1_grid,recovery_alias_m_grid,recovery_alias_gamma_grid
0,0.05,0.025,0.0,0.8,0.1,0.001642328297188057,gamma_high,0.050490755451978404,0.792,0.12022644346174131
1,0.2,0.025,0.0,0.8,0.1,0.005021988974934121,gamma_low,0.19803679212447256,0.808,0.07943282347242814
2,0.125,0.025,0.0,0.4,0.1,0.003025575622237494,gamma_low,0.12308134615201154,0.40800000000000003,0.07585775750291836
3,0.125,0.025,0.0,1.2,0.1,0.004998774288071994,gamma_high,0.126207405595293,1.1920000000000002,0.12022644346174131
4,0.125,0.025,0.0,0.8,0.01,0.003880966289116056,gamma_high,0.12512567887391185,0.8,0.012022644346174132
5,0.125,0.025,0.0,0.8,1.0,0.003671081758403696,m_high,0.12164434796755347,0.8400000000000001,0.9120108393559097
6,0.15492274793796243,0.025,0.0,0.9460129112005233,0.018024323156708866,0.0015948670435377468,gamma_high,0.15535134297752112,0.9440000000000001,0.023988329190194897
7,0.10387576376087965,0.025,0.0,0.6849350392818451,0.6794780791688237,0.005308954584664268,m_high,0.10067264734777723,0.72,0.6025595860743578
8,0.0942549862433225,0.025,0.0,1.0713706329464912,0.02412729631056164,0.003234054802080847,gamma_low,0.09406699278026134,1.072,0.0199526231496888
9,0.14573799031786622,0.025,0.0,0.5101829037070275,0.9107315957746852,0.004653958817962366,m_low,0.15012751101687732,0.48000000000000004,1.0
10,0.1782669818028808,0.025,0.0,0.893031932413578,0.08771033506812888,0.007552410765534313,gamma_low,0.17597933540840094,0.904,0.06025595860743578
11,0.07932304916903377,0.025,0.0,0.7259970352053642,0.24830089705267788,0.005579015347339064,gamma_low,0.0770995698954003,0.752,0.19054607179632474
12,0.05259789391420782,0.025,0.0,0.98654745221138,0.3235632640455902,0.0043415650158679575,gamma_low,0.05111958177697652,1.016,0.26302679918953814
13,0.1886035899166018,0.025,0.0,0.6442073792219162,0.012295733451177189,0.0026236756903440647,gamma_high,0.18967921981290792,0.64,0.023988329190194897
14,0.13730689557269216,0.025,0.0,1.151983070373535,0.11762183890506266,0.005933057077781709,gamma_low,0.1358661189686216,1.1600000000000001,0.09549925860214359
15,0.1237621281296015,0.025,0.0,0.4162958294153214,0.03352428272628166,0.002524493653577012,gamma_low,0.12206051887505757,0.42400000000000004,0.01
16,0.11666479646228255,0.025,0.0,1.1899068430066109,0.7932352608302891,0.010349012104237502,a1_high,0.12333724957728417,1.104,0.9549925860214359
