gamma_1,gamma_2,delta_gamma,reference_noise_level,max_abs_g_difference,rms_g_difference,l2_g_difference,relative_l2_difference,mean_rms_g,sigma_reference,snr_sep,snr_sep_rms
0.01,0.015848931924611134,0.005848931924611134,0.002,4.402920603752136e-05,1.1367247407239276e-05,0.00011367247407239276,0.0006320218365003176,0.017985529535154858,3.597105907030972e-05,3.1601091825015875,0.31601091825015876
0.01,0.025118864315095794,0.015118864315095794,0.002,0.00011381134390830994,2.9379085465312888e-05,0.00029379085465312886,0.001634298064086846,0.017976577290831137,3.5953154581662276e-05,8.171490320434229,0.817149032043423
0.01,0.039810717055349734,0.029810717055349732,0.002,0.00022437795996665955,5.790735308898134e-05,0.0005790735308898134,0.003223809581457588,0.017962398716737965,3.592479743347593e-05,16.11904790728794,1.611904790728794
0.01,0.06309573444801933,0.05309573444801933,0.002,0.0003993622958660126,0.00010303334963751772,0.0010303334963751773,0.0057432278949027535,0.017939972350559552,3.5879944701119103e-05,28.716139474513767,2.8716139474513764
0.01,0.1,0.09000000000000001,0.002,0.000675451010465622,0.0001741776290856293,0.0017417762908562928,0.009728083643743217,0.01790461877840191,3.580923755680382e-05,48.640418218716086,4.864041821871608
0.01,0.15848931924611143,0.14848931924611142,0.002,0.0011075474321842194,0.0002854004080863518,0.0028540040808635184,0.01598939474643803,0.01784935656491505,3.56987131298301e-05,79.94697373219014,7.994697373219013
0.01,0.25118864315095807,0.24118864315095806,0.002,0.0017703361809253693,0.0004557550308802542,0.004557550308802542,0.025655048123209873,0.017764731084949206,3.552946216989841e-05,128.27524061604936,12.827524061604937
0.01,0.3981071705534973,0.3881071705534973,0.002,0.002741355448961258,0.0007048970118673525,0.007048970118673525,0.03995787702043284,0.017641002586471166,3.5282005172942334e-05,199.78938510216418,19.97893851021642
0.01,0.6309573444801934,0.6209573444801934,0.002,0.004041220992803574,0.0010378498698240478,0.01037849869824048,0.059388125177941134,0.01747571365006724,3.495142730013448e-05,296.9406258897057,29.694062588970567
0.01,1.0,0.99,0.002,0.005559023469686508,0.001426459996008958,0.014264599960089578,0.08253608246022728,0.01728286530556311,3.4565730611126223e-05,412.6804123011363,41.26804123011364
0.015848931924611134,0.025118864315095794,0.00926993239048466,0.002,6.978213787078857e-05,1.8011838127784624e-05,0.00018011838127784624,0.001002276494144008,0.01797092741675798,3.594185483351596e-05,5.011382470720041,0.501138247072004
0.015848931924611134,0.039810717055349734,0.0239617851307386,0.002,0.00018034875392913818,4.654010599543284e-05,0.00046540105995432845,0.002591789104097433,0.01795674884266481,3.591349768532962e-05,12.958945520487164,1.2958945520487164
0.015848931924611134,0.06309573444801933,0.047246802523408196,0.002,0.0003553330898284912,9.166610328370437e-05,0.0009166610328370436,0.005111210830734606,0.017934322476486395,3.586864495297279e-05,25.55605415367303,2.5556054153673036
0.015848931924611134,0.1,0.08415106807538887,0.002,0.0006314218044281006,0.00016281038465385176,0.0016281038465385176,0.009096076177576747,0.017898968904328755,3.579793780865751e-05,45.48038088788373,4.548038088788374
0.015848931924611134,0.15848931924611143,0.1426403873215003,0.002,0.001063518226146698,0.0002740331681778691,0.002740331681778691,0.01535741272403418,0.01784370669084189,3.568741338168378e-05,76.78706362017091,7.678706362017091
0.015848931924611134,0.25118864315095807,0.23533971122634695,0.002,0.001726306974887848,0.00044438780058770824,0.004443878005877083,0.0250231301558301,0.01775908121087605,3.55181624217521e-05,125.11565077915051,12.51156507791505
0.015848931924611134,0.3981071705534973,0.3822582386288862,0.002,0.0026973262429237366,0.0006935297994020407,0.006935297994020407,0.03932610879477761,0.017635352712398012,3.527070542479602e-05,196.63054397388805,19.663054397388805
0.015848931924611134,0.6309573444801934,0.6151084125555822,0.002,0.003997191786766052,0.0010264826838271696,0.010264826838271695,0.05875666494347186,0.017470063775994086,3.494012755198817e-05,293.78332471735933,29.378332471735938
0.015848931924611134,1.0,0.9841510680753889,0.002,0.005514994263648987,0.001415092833324303,0.01415092833324303,0.0819051448965042,0.017277215431489953,3.4554430862979906e-05,409.525724482521,40.9525724482521
0.025118864315095794,0.039810717055349734,0.01469185274025394,0.002,0.00011056661605834961,2.852826814888666e-05,0.00028528268148886657,0.0015895136760979073,0.01794779659834109,3.589559319668218e-05,7.947568380489535,0.7947568380489536
