set,gamma,gamma_class
train_seen,0.01,0
train_seen,0.015848931924611134,1
train_seen,0.025118864315095794,2
train_seen,0.039810717055349734,3
train_seen,0.06309573444801933,4
train_seen,0.1,5
train_seen,0.15848931924611143,6
train_seen,0.25118864315095807,7
train_seen,0.3981071705534973,8
train_seen,0.6309573444801934,9
train_seen,1.0,10
test_interp,0.012589254117941671,-1
test_interp,0.019952623149688792,-1
test_interp,0.03162277660168379,-1
test_interp,0.050118723362727234,-1
test_interp,0.07943282347242815,-1
test_interp,0.12589254117941676,-1
test_interp,0.19952623149688803,-1
test_interp,0.316227766016838,-1
test_interp,0.5011872336272724,-1
test_interp,0.7943282347242816,-1
