gamma_1,gamma_2,delta_gamma,reference_noise_level,max_abs_g_difference,rms_g_difference,l2_g_difference,relative_l2_difference,mean_rms_g,sigma_reference,snr_sep,snr_sep_rms
0.01,0.05,0.04,0.002,0.0003009997308254242,7.767053449063684e-05,0.0007767053449063685,0.004326428204218567,0.017952576773353757,3.590515354670752e-05,21.63214102109283,2.163214102109283
0.01,0.2,0.19,0.002,0.0014082863926887512,0.0003627325784333981,0.0036273257843339813,0.02036571957272365,0.017810938481113897,3.5621876962227795e-05,101.82859786361824,10.182859786361824
0.01,0.5,0.49,0.002,0.0033469051122665405,0.0008600647384939891,0.00860064738493989,0.0489675764044745,0.01756396378268374,3.512792756536748e-05,244.8378820223725,24.48378820223725
0.01,1.0,0.99,0.002,0.005559023469686508,0.001426459996008958,0.014264599960089578,0.08253608246022728,0.01728286530556311,3.4565730611126223e-05,412.6804123011363,41.26804123011364
0.05,0.2,0.15000000000000002,0.002,0.001107286661863327,0.00028506210448456845,0.0028506210448456847,0.016039653254747765,0.017772335845239642,3.554467169047928e-05,80.19826627373885,8.019826627373885
0.05,0.5,0.45,0.002,0.0030459053814411163,0.0007823944860545197,0.007823944860545197,0.04464355852643616,0.017525361146809484,3.505072229361897e-05,223.21779263218082,22.321779263218083
0.05,1.0,0.95,0.002,0.005258023738861084,0.0013487899799400056,0.013487899799400056,0.07821673827265718,0.017244262669688856,3.448852533937771e-05,391.0836913632858,39.108369136328584
0.2,0.5,0.3,0.002,0.0019386187195777893,0.000497332833016929,0.00497332833016929,0.02860910963535041,0.017383722854569628,3.4767445709139255e-05,143.04554817675205,14.304554817675205
0.2,1.0,0.8,0.002,0.004150737076997757,0.001063728877795393,0.010637288777953929,0.06219682162919942,0.017102624377448996,3.4205248754897996e-05,310.984108145997,31.098410814599703
0.5,1.0,0.5,0.002,0.0022121183574199677,0.0005663963168284233,0.005663963168284234,0.03360275798407512,0.016855649679018838,3.371129935803768e-05,168.01378992037556,16.801378992037556
