design_id,mahalanobis_threshold,eligible_states,eligible_fraction,occupied_4x4x4_cells,parameter_cover_radius_if_eligible
hybrid_near_200,0.25,83,0.8645833333333334,58,0.31629569621290055
hybrid_near_200,0.5,67,0.6979166666666666,46,0.44791757651083103
hybrid_near_200,1.0,50,0.5208333333333334,35,0.5722105022076647
hybrid_near_200,1.5,34,0.3541666666666667,28,0.7121415918791947
hybrid_near_200,2.0,17,0.17708333333333334,15,0.7981961896005676
hybrid_near_200,2.5,6,0.0625,6,1.0672608954416312
hybrid_near_200,3.0,0,0.0,0,inf
hybrid_near_200,3.3,0,0.0,0,inf
hybrid_near_200,4.0,0,0.0,0,inf
hybrid_near_200,5.0,0,0.0,0,inf
