design_id,mahalanobis_threshold,eligible_states,eligible_fraction,occupied_4x4x4_cells,parameter_cover_radius_if_eligible
near_extend_linear_160,0.25,75,0.78125,51,0.44791757651083103
near_extend_linear_160,0.5,61,0.6354166666666666,43,0.5722105022076647
near_extend_linear_160,1.0,41,0.4270833333333333,30,0.7121415918791947
near_extend_linear_160,1.5,21,0.21875,18,0.9263583081371237
near_extend_linear_160,2.0,9,0.09375,9,1.0672608954416312
near_extend_linear_160,2.5,1,0.010416666666666666,1,1.2776797562359143
near_extend_linear_160,3.0,0,0.0,0,inf
near_extend_linear_160,3.3,0,0.0,0,inf
near_extend_linear_160,4.0,0,0.0,0,inf
near_extend_linear_160,5.0,0,0.0,0,inf
