point_index,q2
0,-150.0
1,-147.2340425531915
2,-144.46808510638297
3,-141.70212765957447
4,-138.93617021276594
5,-136.17021276595744
6,-133.40425531914894
7,-130.63829787234042
8,-127.87234042553192
9,-125.1063829787234
10,-122.34042553191489
11,-119.57446808510639
12,-116.80851063829786
13,-114.04255319148936
14,-111.27659574468085
15,-108.51063829787233
16,-105.74468085106383
17,-102.9787234042553
18,-100.2127659574468
19,-97.44680851063829
20,-94.68085106382978
21,-91.91489361702128
22,-89.14893617021276
23,-86.38297872340425
24,-83.61702127659574
25,-80.85106382978722
26,-78.08510638297872
27,-75.31914893617021
28,-72.5531914893617
29,-69.78723404255318
30,-67.02127659574468
31,-64.25531914893617
32,-61.48936170212765
33,-58.72340425531914
34,-55.957446808510625
35,-53.191489361702125
36,-50.42553191489361
37,-47.6595744680851
38,-44.89361702127658
39,-42.12765957446808
40,-39.36170212765957
41,-36.595744680851055
42,-33.82978723404254
43,-31.063829787234027
44,-28.297872340425528
45,-25.531914893617014
46,-22.7659574468085
47,-20.0
48,-19.399251013117834
49,-18.816546993497674
50,-18.25134591634945
51,-17.703122037925304
52,-17.171365406478564
53,-16.65558138791229
54,-16.1552902056762
55,-15.670026494483828
56,-15.19933886743494
57,-14.742789496140425
58,-14.299953703459254
59,-13.870419568468508
60,-13.453787543299105
61,-13.049670081480862
62,-12.65769127745106
63,-12.27748651689126
64,-11.908702137567165
65,-11.550995100355921
66,-11.204032670154936
67,-10.867492106375423
68,-10.541060362732672
69,-10.224433796053905
70,-9.917317883832746
71,-9.6194269502677
72,-9.330483900529686
73,-9.050219963011507
74,-8.77837443931951
75,-8.514694461774837
76,-8.258934758198716
77,-8.010857423763026
78,-7.770231699693872
79,-7.5368337586223335
80,-7.310446496382749
81,-7.090859330064838
82,-6.87786800213182
83,-6.6712743904223215
84,-6.4708863238593635
85,-6.276517403694955
86,-6.087986830124055
87,-5.905119234106604
88,-5.727744514241208
89,-5.555697678538695
90,-5.3888186909484075
91,-5.226952322494462
92,-5.069948006883465
93,-4.91765970044944
94,-4.769945746305628
95,-4.626668742576827
96,-4.487695414589707
97,-4.3528964909021814
98,-4.222146583056561
99,-4.0953240689446
100,-3.9723109796759686
101,-3.852992889844907
102,-3.737258811092982
103,-3.6250010888689537
104,-3.5161153022897156
105,-3.4105001670091437
106,-3.308057441004534
107,-3.2086918331929604
108,-3.1123109147925723
109,-3.0188250333463755
110,-2.9281472293285074
111,-2.8401931552554616
112,-2.754880997226993
113,-2.6721313988237405
114,-2.5918673872907716
115,-2.5140143019383783
116,-2.438499724693541
117,-2.3652534127374367
118,-2.2942072331663566
119,-2.2252950996152356
120,-2.1584529107848502
121,-2.0936184908155075
122,-2.0307315314517482
123,-1.969733535944283
124,-1.910567764636965
125,-1.8531791821881967
126,-1.7975144063776625
127,-1.7435216584507882
128,-1.6911507149547176
129,-1.6403528610210125
130,-1.5910808450516307
131,-1.5432888347660119
132,-1.4969323745683996
133,-1.4519683441957454
134,-1.4083549186077176
135,-1.3660515290815123
136,-1.3250188254752844
137,-1.2852186396250806
138,-1.246613949841239
139,-1.2091688464712238
140,-1.1728484984968703
141,-1.1376191211349576
142,-1.1034479444109773
143,-1.0703031826768719
144,-1.0381540050443778
145,-1.0069705067064743
146,-0.9767236811202673
147,-0.9473853930254261
148,-0.9189283522730771
149,-0.8913260884408095
150,-0.8645529262101864
151,-0.8385839614838477
152,-0.8133950382199948
153,-0.7889627259627127
154,-0.7652642980472184
155,-0.7422777104597703
156,-0.7199815813325743
157,-0.6983551710546063
158,-0.6773783629798574
159,-0.6570316447150548
160,-0.6372960899694502
161,-0.6181533409497948
162,-0.5995855912841239
163,-0.5815755694584698
164,-0.5641065227510903
165,-0.5471622016492732
166,-0.5307268447342224
167,-0.51478516401996
168,-0.49932233073261184
169,-0.48432396151684887
170,-0.46977610505664863
171,-0.4556652290979372
172,-0.44197820786103637
173,-0.42870230983121066
174,-0.41582518591595363
175,-0.4033348579579987
176,-0.39121970759337216
177,-0.37946846544411955
178,-0.36807020063565526
179,-0.3570143106289859
180,-0.34629051135834615
181,-0.33588882766507444
182,-0.3257995840188328
183,-0.3160133955175355
184,-0.306521159157618
185,-0.29731404536652367
186,-0.28838348978953476
187,-0.27972118532330453
188,-0.2713190743886818
189,-0.2631693414356414
190,-0.2552644056733461
191,-0.247596914018579
192,-0.24015973425598838
193,-0.23294594840377958
194,-0.2259488462786859
195,-0.21916191925423012
196,-0.2125788542064736
197,-0.20619352764161816
198,-0.2
199,-0.08246336004969988
200,-0.08143830969464287
201,-0.08042600109822585
202,-0.07942627587563166
203,-0.07843897761082529
204,-0.07746395183208146
205,-0.07650104598781635
206,-0.07555010942271898
207,-0.07461099335418041
208,-0.07368355084901491
209,-0.07276763680047106
210,-0.07186310790552879
211,-0.07096982264247782
212,-0.07008764124877562
213,-0.06921642569918042
214,-0.06835603968415556
215,-0.06750634858854279
216,-0.06666721947050075
217,-0.0658385210407046
218,-0.06502012364180486
219,-0.06421189922814145
220,-0.06341372134570947
221,-0.0626254651123747
222,-0.06184700719833432
223,-0.06107822580682101
224,-0.06031900065504693
225,-0.05956921295538401
226,-0.05882874539677875
227,-0.05809748212639804
228,-0.057375308731502525
229,-0.05666211222154597
230,-0.05595778101049696
231,-0.05526220489937995
232,-0.054575275059033805
233,-0.053896884013084664
234,-0.05322692562112996
235,-0.05256529506213196
236,-0.05191188881801772
237,-0.05126660465748239
238,-0.05062934161999461
239,-0.05
